Time,,Athlete,Date,Place
32:35.0[a],, William Howitt (GBR),1847-04-05,"Peckham, United Kingdom"
32:09.0[b],, Walter George (GBR),1882-03-25,"London, United Kingdom"
31:53.4[b],, Walter George (GBR),1884-04-07,"London, United Kingdom"
31:40.0[b],, Walter George (GBR),1884-07-28,"London, United Kingdom"
31:23.1,, William Cummings (GBR),1885-09-28,"London, United Kingdom"
31:02.4,, Alfred Shrubb (GBR),1904-11-05,"Glasgow, United Kingdom"
30:58.8,, Jean Bouin (FRA),"November 16, 1911","Paris, France[2]"
30:40.2,, Paavo Nurmi (FIN),"June 22, 1921","Stockholm, Sweden[2]"
30:35.4,, Ville Ritola (FIN),"May 25, 1924","Helsinki, Finland[2]"
30:23.2,, Ville Ritola (FIN),"July 6, 1924","Paris, France[2]"
30:06.2,, Paavo Nurmi (FIN),"August 31, 1924","Kuopio, Finland[2]"
30:05.6,, Ilmari Salminen (FIN),"July 18, 1937","Kouvola, Finland[2]"
30:02.0,, Taisto Mäki (FIN),"September 29, 1938","Tampere, Finland[2]"
29:52.6,, Taisto Mäki (FIN),"September 17, 1939","Helsinki, Finland[2]"
29:35.4,, Viljo Heino (FIN),"August 25, 1944","Helsinki, Finland[2]"
29:28.2,, Emil Zátopek (TCH),"June 11, 1949","Ostrava, Czechoslovakia[2]"
29:27.2,, Viljo Heino (FIN),"September 1, 1949","Kouvola, Finland[2]"
29:21.2,, Emil Zátopek (TCH),"October 22, 1949","Ostrava, Czechoslovakia[2]"
29:02.6,, Emil Zátopek (TCH),"August 4, 1950","Turku, Finland[2]"
29:01.6,, Emil Zátopek (TCH),"November 1, 1953","Stara Boleslav, Czechoslovakia[2]"
28:54.2,, Emil Zátopek (TCH),"June 1, 1954","Brussels, Belgium[2]"
28:42.8,, Sandor Iharos (HUN),"July 15, 1956","Budapest, Hungary[2]"
28:30.4,, Vladimir Kuts (URS),"September 11, 1956","Moscow, Soviet Union[2]"
28:18.8,, Pyotr Bolotnikov (URS),"October 15, 1960","Kiev, Soviet Union[2]"
28:18.2,, Pyotr Bolotnikov (URS),"August 11, 1962","Moscow, Soviet Union[2]"
28:15.6,, Ron Clarke (AUS),"December 18, 1963","Melbourne, Australia[2]"
27:39.4,27:39.89, Ron Clarke (AUS),"July 14, 1965","Oslo, Norway[2]"
27:38.4,27:38.35, Lasse Virén (FIN),"September 3, 1972","Munich, West Germany[2]"
27:30.8,27:30.80, David Bedford (GBR),"July 13, 1973","London, United Kingdom[2]"
27:30.5,27:30.47, Samson Kimobwa (KEN),"June 30, 1977","Helsinki, Finland[2]"
27:22.4,27:22.47, Henry Rono (KEN),"June 11, 1978","Vienna, Austria[2]"
27:13.81,, Fernando Mamede (POR),"July 2, 1984","Stockholm, Sweden[2]"
27:08.23,, Arturo Barrios (MEX),"August 18, 1989","West Berlin, West Germany[2]"
27:07.91,, Richard Chelimo (KEN),"July 5, 1993","Stockholm, Sweden[2]"
26:58.38,, Yobes Ondieki (KEN),"July 10, 1993","Oslo, Norway[2]"
26:52.23,, William Sigei (KEN),"July 22, 1994","Oslo, Norway[2]"
26:43.53,, Haile Gebrselassie (ETH),"June 5, 1995","Hengelo, Netherlands[2]"
26:38.08,, Salah Hissou (MAR),"August 23, 1996","Brussels, Belgium[2]"
26:31.32,, Haile Gebrselassie (ETH),"July 4, 1997","Oslo, Norway[2]"
26:27.85,, Paul Tergat (KEN),"August 22, 1997","Brussels, Belgium[2]"
26:22.75,, Haile Gebrselassie (ETH),"June 1, 1998","Hengelo, Netherlands[2]"
26:20.31,, Kenenisa Bekele (ETH),"June 8, 2004","Ostrava, Czech Republic[2]"
26:17.53,, Kenenisa Bekele (ETH),"August 26, 2005","Brussels, Belgium[2]"
26:11.00,, Joshua Cheptegei (UGA),"October 7, 2020","Valencia, Spain"
