Time,Athlete,Date,Place
39:25.0, Gertrud Schmidt (GDR),1966-10-20,?[6]
39:10.0, Hannelore Middeke (GDR),1966-10-20,?[6]
38:06.4, Ann O'Brien (IRL),1967-03-26,"Gormanstown, Ireland[6]"
35:30.5, Paola Pigni (ITA),1970-05-09,"Milan, Italy[6]"
34:51.0, Kathy Gibbons (USA),1971-06-12,"Phoenix, United States[6]"
35:00.4, Julie Brown (USA),1975-03-29,"Los Angeles, United States[6]"
34:01.4, Christa Vahlensieck (FRG),1975-08-20,"Wolfsburg, West Germany[6]"
33:34.1, Loa Olafsson (DEN),1977-03-19,"Hvidovre, Denmark[6]"
33:15.09, Peg Neppel (USA),1977-06-09,"Los Angeles, United States[6]"
32:43.2, Natalia Mărăşescu (ROM),1978-01-22,"Băile Felix, Romania[6]"
32:30.80, Olga Krentser (URS),1981-08-07,"Moscow, Soviet Union[6]"
32:17.20, Yelena Sipatova (URS),1981-10-19,"Moscow, Soviet Union[3]"
31:35.3, Mary Decker-Slaney (USA),1982-07-16,"Eugene, USA[3]"
31:35.01, Lyudmila Baranova (URS),1983-05-29,"Krasnodar, Soviet Union[3]"
31:27.58, Raisa Sadreydinova (URS),1983-09-07,"Odessa, Soviet Union[3]"
31:13.78, Olga Bondarenko (URS),1984-06-24,"Kiev, Soviet Union[3]"
30:59.42, Ingrid Kristiansen (NOR),1985-07-27,"Oslo, Norway[3]"
30:13.74, Ingrid Kristiansen (NOR),1986-07-05,"Oslo, Norway[3]"
29:31.78, Wang Junxia (CHN),1993-09-08,"Beijing, PR China[3]"
29:17.45, Almaz Ayana (ETH),2016-08-12,"Rio de Janeiro, Brazil[7]"
29:06.82, Sifan Hassan (NED),2021-06-06,"Hengelo, Netherlands[8]"
29:01.03, Letesenbet Gidey (ETH),2021-06-08,"Hengelo, Netherlands[9]"
28:54.14, Beatrice Chebet (KEN),2024-05-25,"Eugene, United States[1]"
