Time,Athlete,Date,Place
9:02.4, Louis de Fleurac (FRA),19 June 1904,"Paris, France"
8:55.0, Edward Dahl (SWE),27 October 1907,"Norrköping, Sweden"
8:54.0, John Svanberg (SWE),21 August 1908,"Stockholm, Sweden"
8:49.6, Jean Bouin (FRA),11 June 1911,"Colombes, France"
8:48.5, Hannes Kolehmainen (FIN),24 September 1911,"Oulunkylä, Finland"
8:46.6, Bror Fock (SWE),24 May 1912,"Stockholm, Sweden"
8:36.8, Hannes Kolehmainen (FIN),12 July 1912[1],"Stockholm, Sweden"
8:33.2, John Zander (SWE),7 August 1918[1],"Stockholm, Sweden"
8:28.6, Paavo Nurmi (FIN),27 August 1922[1],"Turku, Finland"
8:27.6, Edvin Wide (SWE),7 June 1925[1],"Halmstad, Sweden"
8:25.4, Paavo Nurmi (FIN),24 May 1926[1],"Berlin, Germany"
8:20.4, Paavo Nurmi (FIN),13 July 1926[1],"Stockholm, Sweden"
8:18.8, Janusz Kusociński (POL),19 June 1932[1],"Antwerp, Belgium"
8:18.4, Henry Nielsen (DEN),24 July 1934[1],"Stockholm, Sweden"
8:14.8, Gunnar Höckert (FIN),16 September 1936[1],"Stockholm, Sweden"
8:09.0, Henry Kälarne (SWE),14 August 1940[1],"Stockholm, Sweden"
8:01.2, Gunder Hägg (SWE),28 August 1942[1],"Stockholm, Sweden"
7:58.8, Gaston Reiff (BEL),12 August 1949[1],"Gävle, Sweden"
7:55.6, Sándor Iharos (HUN),14 May 1955[1],"Budapest, Hungary"
7:55.6, Gordon Pirie (ENG),22 June 1956[1],"Trondheim, Norway"
7:52.8, Gordon Pirie (ENG),4 September 1956[1],"Malmö, Sweden"
7:49.2, Michel Jazy (FRA),27 June 1962[1],"Saint-Maur-des-Fossés, France"
7:49.0+, Michel Jazy (FRA),23 June 1965[1],"Melun, France"
7:46.0, Siegfried Herrmann (GDR),5 August 1965[1],"Erfurt, East Germany"
7:39.6, Kipchoge Keino (KEN),27 August 1965[1],"Helsingborg, Sweden"
7:37.6, Emiel Puttemans (BEL),14 September 1972[1],"Aarhus, Denmark"
7:35.2, Brendan Foster (GBR),3 August 1974[1],"Gateshead, England"
7:32.1, Henry Rono (KEN),27 June 1978[1],"Oslo, Norway"
7:29.45, Saïd Aouita (MAR),20 August 1989[1],"Cologne, West Germany"
7:28.96, Moses Kiptanui (KEN),16 August 1992[1],"Cologne, Germany"
7:25.11, Noureddine Morceli (ALG),2 August 1994[1],"Monte Carlo, Monaco"
7:20.67, Daniel Komen (KEN),1 September 1996[1],"Rieti, Italy"
7:17.55, Jakob Ingebrigtsen (NOR),25 August 2024[1],"Chorzów, Poland"
