Time,Auto,Team,Country,Venue,Date,Participants
53.2,,Czechoslovakia, Czechoslovakia,Paris,1922-05-21,"Marie Mejzlíková I, Marie Bakovská, Marie Jirásková, Marie Mejzlíková II"
51.4+,,Great Britain & N.I., United Kingdom,Paris,1922-08-20,"Mary Lines, Daisy Leach, Gwendoline Porter, Nora Callebout"
50.4,,Berliner Sport-Club, Germany,Cologne,1926-07-11,"Lilli Henoch, Charlotte Köhler, Gerda Pöting, Cläre Voss"
50.0,,Viktoria Magdeburg, Germany,Breslau,1927-08-07,"Anneliese Jacke, Lieselotte Hellmann, Rose Drieling, Ilse Drieling"
50.0,,Linnets Saint-Maur, France,Paris,1928-07-15,"Georgette Gagneux, Lucienne Velu, Simone Warnier, Marguerite Radideau"
49.8,,TSV 1860 München, Germany,Berlin,1928-07-15,"Rosa Kellner, Luise Holzer, Agathe Karrer, Lisa Gelius"
48.4,,Canada, Canada,Amsterdam,1928-08-05,"Fanny Rosenfeld, Etle Smith, Florence Bell, Myrtle Cook"
49.0,,Eintracht Frankfurt, Germany,Mannheim,1929-06-30,"Ottilie Fleischer, Detta Lorenz, Emmi Haux, Charlotte Köhler"
49.0,,TSV 1860 München, Germany,Frankfurt,1929-07-21,"Rosa Kellner, Luise Holzer, Agathe Karrer, Lisa Gelius"
48.8,,TSV 1860 München, Germany,Nuremberg,1930-07-20,"Rosa Kellner, Luise Holzer, Agathe Karrer, Lisa Gelius"
46.9,,United States, United States,Los Angeles,1932-08-07,"Mary Carew, Evelyn Furtsch, Annette Rogers, Billie von Bremen"
46.5,,Germany, Germany,Cologne,1936-06-21,"Emmy Albus, Käthe Krauß, Marie Dollinger, Grete Winkels"
46.4,,Germany, Germany,Berlin,1936-08-08,"Emmy Albus, Käthe Krauß, Marie Dollinger, Ilse Dörffeldt"
46.1,46.23,Australia, Australia,Helsinki,1952-07-27,"Shirley de la Hunty, Verna Johnston, Winsome Cripps, Marjorie Jackson"
45.9,46.14,United States, United States,Helsinki,1952-07-27,"Mae Faggs, Barbara Jones, Janet Moreau, Catherine Hardy"
45.9,46.18,West Germany, West Germany,Helsinki,1952-07-27,"Ursula Knab, Maria Sander, Helga Klein, Marga Petersen"
