Time,Auto,Team,Nationality,Location of race,Date,Competition,Participants
3:18.2 y,,Irish-American AC, United States,"New York City, USA",1911-09-04[1],,"Harry Schaaf, Mel Sheppard,
Harry Gissing, James Rosenberger"
3:16.6,,United States, United States,"Stockholm, Sweden",1912-06-15[1],,"Mel Sheppard, Charles Reidpath,
Ted Meredith, Edward Lindberg"
3:16.0,,United States, United States,"Paris, France",1924-07-13[1],,"Commodore Cochran, Alan Helffrich,
Oliver MacDonald, William Stevenson"
3:14.2,,United States, United States,"Amsterdam, Netherlands",1928-08-05[1],,"George Baird,
Emerson Spencer, Fred Alderman, Ray Barbuti"
3:13.4 y,,United States, United States,"London, UK",1928-08-11[1],,"George Baird, Morgan Taylor,
Ray Barbuti, Emerson Spencer"
3:12.6 y,,Stanford University, United States,"Fresno, USA",1931-05-08[1],,"Maynor Shore, Alvin Hables,
Leslie Hables, Ben Eastman"
3:08.2,3:08.14,United States, United States,"Los Angeles, USA",1932-08-07[1],,"Ivan Fuqua, Ed Ablowich,
Karl Warner, Bill Carr"
3:03.9,3:04.04,Jamaica, Jamaica,"Helsinki, Finland",1952-07-27[1],,"Arthur Wint, Leslie Laing,
Herb McKenley, George Rhoden"
3:02.2,3:02.37,United States, United States,"Rome, Italy",1960-09-08[1],,"Jack Yerman, Earl Young,
Glenn Davis, Otis Davis"
3:00.7,,United States, United States,"Tokyo, Japan",1964-10-21[1],,"Ollan Cassell, Mike Larrabee,
Ulis Williams, Henry Carr"
2:59.6,,United States, United States,"Los Angeles, USA",1966-07-24[1][3],,"Robert Frey, Lee Evans,
Tommie Smith, Theron Lewis"
2:56.2,2:56.16[4],United States, United States,"Mexico City, Mexico",1968-10-20[1],,"Vincent Matthews, Ron Freeman,
Larry James, Lee Evans"
2:56.16,-,United States, United States,"Seoul, South Korea",1988-10-01[1],,"Danny Everett, Steve Lewis,
Kevin Robinzine, Butch Reynolds"
2:55.74,-,United States, United States,"Barcelona, Spain",1992-08-08[1],,"Andrew Valmon, Quincy Watts,
Michael Johnson, Steve Lewis"
2:54.29,-,United States, United States,"Stuttgart, Germany",1993-08-22[1],,"Andrew Valmon, Quincy Watts,
Butch Reynolds, Michael Johnson"
