Time,Athlete,Date,Location
16:17.4, Paola Pigni (ITA),1969-05-11,"Formia, Italy"
15:53.6, Paola Pigni (ITA),1969-09-02,"Milan, Italy"
15:41.4, Natalia Mărășescu (ROM),1977-03-16,"Oradea, Romania"
15:37.0, Janice Merrill (USA),1977-07-11,"Mainz, Germany"
15:35.52, Kathy Mills (USA),1978-05-26,"Knoxville, United States"
15:33.8, Janice Merrill (USA),1979-05-19,"Durham, United States"
15:30.6, Janice Merrill (USA),1980-03-22,"Stanford, United States"
15:28.43, Ingrid Kristiansen (NOR),1981-07-11,"Oslo, Norway"
15:24.6, Yelena Sipatova (URS),1981-09-06,"Podolsk, Soviet Union"
15:14.51, Paula Fudge (GBR),1981-09-13,"Knarvik, Norway[1]"
15:13.22, Anne Audain (NZL),1982-03-17,"Auckland, New Zealand[1]"
15:08.26, Mary Tabb (USA),1982-06-05,"Eugene, Oregon, United States[1]"
15:01.83 [a], Zola Budd (RSA),1984-01-05,"Stellenbosch, South Africa[1]"
14:58.89, Ingrid Kristiansen (NOR),1984-06-28,"Oslo, Norway[1]"
14:48.07, Zola Budd (GBR),1985-08-26,"London, United Kingdom[1]"
14:37.33, Ingrid Kristiansen (NOR),1986-08-05,"Stockholm, Sweden[1]"
14:36.45, Fernanda Ribeiro (POR),1995-07-22,"Hechtel, Belgium[1]"
14:31.27, Dong Yanmei (CHN),1997-10-21,"Shanghai, China[1]"
14:28.09, Jiang Bo (CHN),1997-10-23,"Shanghai, China[1]"
14:24.68, Elvan Abeylegesse (TUR),2004-06-11,"Bergen, Norway[1]"
14:24.53, Meseret Defar (ETH),2006-06-03,"New York, United States[1]"
14:16.63, Meseret Defar (ETH),2007-06-15,"Oslo, Norway[1]"
14:11.15, Tirunesh Dibaba (ETH),2008-06-06,"Oslo, Norway[1]"
14:06.62, Letesenbet Gidey (ETH),2020-10-07,"Valencia, Spain[1]"
14:05.20, Faith Kipyegon (KEN),2023-06-09,"Paris, France [3]"
14:00.21, Gudaf Tsegay (ETH),2023-09-17,"Eugene, Oregon[4]"
13:58.06, Beatrice Chebet (KEN),2025-07-05,"Eugene, Oregon[5]"
