Time,Auto,Athlete,Nationality,Location,Date
2.05.0y,,J. Blackwood,  Great Britain,Addiscombe,"April 25, 1857[4]"
2.04.0y,,Wiliam Way,  Great Britain,Oxford,"November 25, 1859[4]"
2.03.0y,,Charlie Grey,  Ireland,Dublin,"June 27, 1861[4]"
2.03.0y,,Percy Thornton,  Great Britain,London,"December 16, 1865[4]"
2.02.5y,,Percy Thornton,  Great Britain,London,"December 16, 1865[4]"
2.02.4y,,Francis Pelham,  Great Britain,Cambridge,"March 23, 1867[4]"
2.01.0y,,Kinross Gair,  Great Britain,Edinburgh,"June 26, 1867[4]"
2.01.0y,,George Templer,  United States,London,"March 27, 1872[4]"
2.01.0y,,Thomas Christie,  United States,London,"March 27, 1872[4]"
1.59.8y,,Arthur Pelham,  Great Britain,Cambridge,"March 26, 1873[4]"
1.59.5y,,Walter Slade,  Great Britain,Dublin,"June 5, 1876[4]"
1.58.8y,,Walter Slade,  Great Britain,Dublin,"June 6, 1876[4]"
1.58.2y,,Walter Slade,  Great Britain,Belfast,"June 10, 1876[4]"
1.57.5y,,Frederic Elborough,  Great Britain,London,"October 7, 1876[4]"
1.56.2y,,Lawrence Myers,  United States,New York City,"July 17, 1880[4]"
1.55.8y,,Lawrence Myers,  United States,London,"July 2, 1881[4]"
1.55.6y,,Lawrence Myers,  United States,New York City,"October 8, 1881[4]"
1.55.6y,,Lawrence Myers,  United States,New York City,"September 16, 1882[4]"
1.55.4y,,Lawrence Myers,  United States,Birmingham,"July 7, 1884[4]"
1.55.4y,,Lawrence Myers,  United States,New York City,"October 3, 1885[4]"
1.54.6y,,Francis Cross,  Great Britain,Oxford,"March 9, 1888[4]"
1.54.5y,,Walter Dohm,  United States,New York City,"September 19, 1891[4]"
1.53.4y,,Charles Kilpatrick,  United States,New York City,"September 21, 1895[4]"
1.52.8,,Melvin Sheppard,  United States,London,"July 21, 1908[4]"
1.52.1y,,Emilio Lunghi,  Italy,Montreal,"September 15, 1909[4]"
1:51.9+,, Ted Meredith (USA),,"Stockholm, Sweden[1]",1912-07-08
1:51.6y,, Otto Peltzer (GER),,"London, United Kingdom[1]",1926-07-03
1:50.6,, Sera Martin (FRA),,"Paris, France[1]",1928-07-14
1:49.8,1:49.70, Tommy Hampson (GBR),,"Los Angeles, United States[1]",1932-08-02
1:49.8y,, Ben Eastman (USA),,"Princeton, United States[1]",1934-06-16
1:49.7,, Glenn Cunningham (USA),,"Stockholm, Sweden[1]",1936-08-20
1:49.6y,, Elroy Robinson (USA),,"New York, United States[1]",1937-07-11
1:48.4+,, Sydney Wooderson (GBR),,"London, United Kingdom[1]",1938-08-20
1:46.6,, Rudolf Harbig (GER),,"Milan, Italy[1]",1939-07-15
1:45.7,, Roger Moens (BEL),,"Oslo, Norway[1]",1955-08-03
1:44.3+,, Peter Snell (NZL),,"Christchurch, New Zealand[1]",1962-02-03
1:44.3,1:44.40, Ralph Doubell (AUS),,"Mexico City, Mexico[1]",1968-10-15
1:44.3,, Dave Wottle (USA),,"Eugene, United States[1]",1972-07-01
1:43.7,, Marcello Fiasconaro (ITA),,"Milan, Italy[1]",1973-06-27
1:43.5,1:43.50, Alberto Juantorena (CUB),,"Montreal, Canada[1]",1976-07-25
1:43.4,1:43.44, Alberto Juantorena (CUB),,"Sofia, Bulgaria[1]",1977-08-21
1:42.4,1:42.33, Sebastian Coe (GBR),,"Oslo, Norway[1]",1979-07-05
1:41.73,, Sebastian Coe (GBR),,"Florence, Italy[1]",1981-06-10
1:41.73,, Wilson Kipketer (DEN),,"Stockholm, Sweden[1]",1997-07-07
1:41.24,, Wilson Kipketer (DEN),,"Zürich, Switzerland[1]",1997-08-13
1:41.11,, Wilson Kipketer (DEN),,"Cologne, Germany[1]",1997-08-24
1:41.09,, David Rudisha (KEN),,"Berlin, Germany[3]",2010-08-22
1:41.01,, David Rudisha (KEN),,"Rieti, Italy[3]",2010-08-29
1:40.91,, David Rudisha (KEN),,"London, United Kingdom[5]",2012-08-09
