Time,Auto,Athlete,Date,Location
2:30.4+,, Georgette Lenoir (FRA),1922-08-20,"Paris, France[6]"
2:26.6y,, Mary Lines (GBR),1922-08-30,"London, United Kingdom[6]"
2:23.8,, Lina Radke (GER),1927-08-07,"Breslau, Germany[6]"
2:20.4,, Inga Gentzel (SWE),1928-06-16,"Stockholm, Sweden[6]"
2:19.6,, Lina Radke (GER),1928-07-01,"Brieg, Germany[6]"
2:16.8,, Lina Radke (GER),1928-08-02,"Amsterdam, Netherlands[6]"
2:16.4*,, Zdeněk Koubek (CSK),1934-06-14,"Prague, Czechoslovakia[8][9]"
2:12.4*,, Zdeněk Koubek (CSK),1934-08-10,"London, United Kingdom[8][9]"
2:15.9,, Anna Larsson (SWE),1944-08-28,"Stockholm, Sweden[6]"
2:14.8,, Anna Larsson (SWE),1945-08-19,"Hälsingborg, Sweden[6]"
2:13.8,, Anna Larsson (SWE),1945-08-30,"Stockholm, Sweden[6]"
2:13.0,, Yevdokiya Vasilyeva (URS),1950-07-17,"Moscow, Soviet Union[6]"
2:12.2,, Valentina Pomogayeva (URS),1951-07-26,"Moscow, Soviet Union[6]"
2:12.0,, Nina Otkalenko (URS),1951-08-26,"Minsk, Soviet Union[6]"
2:08.5,, Nina Otkalenko (URS),1952-06-15,"Kiev, Soviet Union[6]"
2:07.3,, Nina Otkalenko (URS),1953-08-27,"Moscow, Soviet Union[6]"
2:06.6,, Nina Otkalenko (URS),1954-09-16,"Kiev, Soviet Union[6]"
2:05.0,, Nina Otkalenko (URS),1955-09-24,"Zagreb, Yugoslavia[6]"
2:04.3,, Lyudmila Shevtsova (URS),1960-07-03,"Moscow, Soviet Union[6]"
2:04.3,2:04.50, Lyudmila Shevtsova (URS),1960-09-07,"Rome, Italy[6]"
2:01.2+,, Dixie Willis (AUS),1962-03-03,"Perth, Australia[6]"
2:01.1,, Ann Packer (GBR),1964-10-20,"Tokyo, Japan[6]"
2:01.0,, Judy Pollock (AUS),1967-06-28,"Helsinki, Finland[6]"
2:00.5,, Vera Nikolic (YUG),1968-07-20,"London, United Kingdom[6]"
1:58.5,1:58.45, Hildegard Falck (FRG),1971-07-11,"Stuttgart, Germany[6]"
1:57.5,1:57.48, Svetla Zlateva (BUL),1973-08-24,"Athens, Greece[6]"
1:56.0,, Valentina Gerasimova (URS),1976-06-12,"Kiev, Soviet Union[6]"
1:54.9,1:54.94, Tatyana Kazankina (URS),1976-07-26,"Montreal, Canada[6]"
1:54.9,1:54.85, Nadezhda Olizarenko (URS),1980-06-12,"Moscow, Soviet Union[6]"
1:53.5,1:53.43, Nadezhda Olizarenko (URS),1980-07-27,"Moscow, Soviet Union[6]"
1:53.28,, Jarmila Kratochvílová (TCH),1983-07-26,"Munich, West Germany[6]"
