Time,Name,Nationality,Date,Event/Place,Source,Notes
01:05:44,Ron Hill, United Kingdom,19 June 1965,Freckleton,"IAAF,[2] ARRS[3]",
01:05:42,Pete Ravald, United Kingdom,18 June 1966,Freckleton,"IAAF,[2] ARRS[3]",
01:04:28,Abebe Bikila, Ethiopia,21 October 1964,Tokyo,IAAF[2],[Note 1][Note 2]
01:03:22,Derek Clayton, Australia,3 December 1967,Fukuoka Marathon,IAAF[2],[Note 1][Note 2]
01:03:53,Derek Graham, Ireland,2 May 1970,Belfast,"IAAF,[2] ARRS[3]",
01:03:46,Juan Rafael Angel Perez, Costa Rica,8 February 1976,Coamo,"IAAF,[2] ARRS[3]",
01:03:46,Jose Reveyn, Belgium,27 March 1976,The Hague,IAAF[2],
01:02:57,Miruts Yifter, Ethiopia,6 February 1977,Coamo,IAAF[2],IAAF notes unrounded time as 1:02:56.3
01:02:47,Tony Simmons, United Kingdom,24 June 1978,Welwyn Garden City,IAAF[2],
01:02:36,Nick Rose, United Kingdom,14 October 1979,Dayton,"IAAF,[2] ARRS[3]",
01:02:32,Kirk Pfeffer, United States,7 December 1979,Las Vegas,"IAAF,[2] ARRS[3]",
01:02:16,Stan Mavis, United States,27 January 1980,New Orleans,"IAAF,[2] ARRS[3]",
01:01:47,Herb Lindsay, United States,20 September 1981,"Manchester, Vermont",IAAF[2],
01:01:36,Michael Musyoki, Kenya,19 September 1982,Philadelphia,"IAAF,[2] ARRS[3]",
01:01:32,Paul Cummings, United States,25 September 1983,Dayton,"IAAF,[2] ARRS[3]",
01:01:14,Steve Jones, United Kingdom,11 August 1985,Birmingham,"IAAF,[2] ARRS[3]",
01:00:55,Mark Curp, United States,15 September 1985,Philadelphia,"IAAF,[2] ARRS[3]",
01:00:43,Michael Musyoki, Kenya,8 June 1986,South Shields,IAAF[2],[Note 1]
01:00:10,Matthews Temane, South Africa,25 July 1987,East London,IAAF[2],[Note 1]
01:00:06,Steve Moneghetti, Australia,24 January 1993,Tokyo,IAAF[2],[Note 1]
59:47:00,Moses Tanui, Kenya,3 April 1993,Milan,IAAF[2],
59:43:00,António Pinto, Portugal,15 March 1998,Lisbon,IAAF[2],[Note 1]
59:17:00,Paul Tergat, Kenya,4 April 1998,Milan,"IAAF,[2] ARRS[3]",
59:06:00,Paul Tergat, Kenya,26 March 2000,Lisbon,IAAF[2],[Note 1]
59:16:00,Samuel Wanjiru, Kenya,11 September 2005,Rotterdam,"IAAF,[2] ARRS[3]",ARRS notes unrounded time as 59:15.8
59:05:00,Zersenay Tadese, Eritrea,18 September 2005,South Shields,IAAF[2],[Note 1]
58:55:00,Haile Gebrselassie, Ethiopia,15 January 2006,Tempe,IAAF[2],Disputed by ARRS due to advantage of wind-shielding by a vehicle[3]
58:53:00,Samuel Wanjiru, Kenya,9 February 2007,Ras al-Khaimah,"IAAF,[2] ARRS[3]",
58:33:00,Samuel Wanjiru, Kenya,17 March 2007,The Hague,"IAAF,[2] ARRS[3]",ARRS notes time as 58:35
58:23:00,Zersenay Tadese, Eritrea,21 March 2010,Lisbon,"IAAF,[13] ARRS[3]",
58:18:00,Abraham Kiptum, Kenya,28 October 2018,Valencia,IAAF[14][15],suspended for doping (26 April 2019)
58:01:00,Geoffrey Kamworor, Kenya,15 September 2019,Copenhagen,IAAF [16],
57:32:00,Kibiwott Kandie, Kenya,6 December 2020,Valencia,World Athletics[17],
57:31:00,Jacob Kiplimo, Uganda,21 November 2021,Lisbon,World Athletics[18],
57:30:00,Yomif Kejelcha, Ethiopia,27 October 2024,Valencia,World Athletics[19],
56:42:00,Jacob Kiplimo, Uganda,16 February 2025,Barcelona,World Athletics[20],
