Time,Name,Nationality,Date,Event/Place,Source,Notes
01:23:56,Kathy Gibbons, United States,7 March 1971,"Phoenix, Arizona",ARRS[3],
01:23:11,Chantal Langlacé, France,8 September 1974,Aÿ-Champagne,ARRS[3],
01:22:05,Silvana Cruciata, Italy,3 April 1977,Milan,ARRS[3],
01:19:45,Marja Wokke, Netherlands,8 January 1978,Egmond aan Zee,ARRS[3],
01:18:44,Silvana Cruciata, Italy,16 April 1978,Milan,ARRS[3],
01:18:30,Jean Abare, United States,4 July 1978,"Coronado, California",ARRS[3],
01:15:04,Marty Cooksey, United States,26 August 1978,San Diego,IAAF[2],[Note 1]
01:15:58,Miki Gorman, United States,19 November 1978,Pasadena,"IAAF,[2] ARRS[3]",
01:15:01,Ellison Goodall, United States,10 March 1979,Winston-Salem,"IAAF,[2] ARRS[3]",
01:14:50,Kathy Mintie, United States,25 August 1979,San Diego,IAAF[2],[Note 1]
01:14:04,Patti Catalano, United States,23 September 1979,"Manchester, Vermont","IAAF,[2] ARRS[3]",ARRS notes time as 1:14:03
01:13:59,Marja Wokke, Netherlands,29 March 1980,The Hague,"IAAF,[2] ARRS[3]",
01:13:26,Joan Benoit, United States,18 January 1981,New Orleans,"IAAF,[2] ARRS[3]",
01:11:16,Joan Benoit, United States,7 March 1981,San Diego,"IAAF,[2] ARRS[3]",
01:09:57,Grete Waitz, Norway,15 May 1982,Gothenburg,"IAAF,[2] ARRS[3]",
01:09:14,Joan Benoit, United States,18 September 1983,Philadelphia,"IAAF,[2] ARRS[3]",ARRS notes time as 1:09:10
01:08:34,Joan Benoit, United States,16 September 1984,Philadelphia,"IAAF,[2] ARRS[3]",
01:06:40,Ingrid Kristiansen, Norway,5 April 1987,Sandnes,"IAAF,[2] ARRS[3]",[Note 1]
01:08:32,Ingrid Kristiansen, Norway,19 March 1989,New Bedford,IAAF[2],
01:07:59,Elana Meyer, South Africa,18 May 1991,East London,IAAF[2],
01:07:59,Uta Pippig, Germany,20 March 1994,Kyoto,IAAF[2],
01:07:58,Uta Pippig, Germany,19 March 1995,Kyoto,IAAF[2],
01:07:36,Elana Meyer, South Africa,9 March 1997,Kyoto,IAAF[2],
01:07:29,Elana Meyer, South Africa,8 March 1998,Kyoto,IAAF[2],
01:06:44,Elana Meyer, South Africa,15 January 1999,Tokyo,IAAF[2],
01:05:44,Susan Chepkemei, Kenya,1 April 2001,Lisbon,IAAF[2],[Note 1]
01:05:40,Paula Radcliffe, United Kingdom,21 September 2003,South Shields,IAAF[2],IAAF notes unrounded time as 1:05:39.6 [Note 1]
1:06:25,Lornah Kiplagat, Netherlands,14 October 2007,"World RR Champs, Udine","IAAF,[2] ARRS[3]",First world record recognized by the International Association of Athletics Federations. Mark also recognized as official world record.
1:05:50,Mary Keitany, Kenya,18 February 2011,Ras al-Khaimah,IAAF[21],
1:05:12,Florence Kiplagat, Kenya,16 February 2014,Barcelona,IAAF[2],
1:05:09,Florence Kiplagat, Kenya,15 February 2015,Barcelona,IAAF[2],
1:05:06,Peres Jepchirchir, Kenya,10 February 2017,Ras al-Khaimah,IAAF,
1:04:52,Joyciline Jepkosgei, Kenya,1 April 2017,Prague,IAAF,
1:04:51,Joyciline Jepkosgei, Kenya,22 October 2017,Valencia,IAAF,
1:06:11,Netsanet Gudeta, Ethiopia,24 March 2018,"World HM Champs, Valencia",IAAF,
1:04:31,Ababel Yeshaneh, Ethiopia,21 February 2020,Ras al-Khaimah,IAAF,
1:05:34,Peres Jepchirchir, Kenya,5 September 2020,Prague,World Athletics[22],
1:05:16,Peres Jepchirchir, Kenya,17 October 2020,Gdynia,World Athletics[23],
1:04:02,Ruth Chepngetich, Kenya,4 April 2021,Istanbul,World Athletics[24],
1:03:44,Yalemzerf Yehualaw, Ethiopia,29 August 2021,Larne,World Athletics[25],
1:02:52,Letesenbet Gidey, Ethiopia,24 October 2021,Valencia,World Athletics[26],
