Mark,Athlete,Venue,Date
1.575 m (5 ft 2 in), Adam Wilson (GBR),Innerleithen,"September 26, 1827[3]"
1.60 m (5 ft 2+3⁄4 in), Thomas Anderson (GBR),Innerleithen,"July 24, 1829[3]"
1.60 m (5 ft 2+3⁄4 in), John Pattison (GBR),Mount Benger,"May 6, 1837[3]"
1.675 m (5 ft 5+3⁄4 in), Richard Armstrong (GBR),Dalkeith,"August 5, 1839[3]"
1.675 m (5 ft 5+3⁄4 in), Thomas Roper (GBR),Newcastle,"April 1, 1850[3]"
1.675 m (5 ft 5+3⁄4 in), Francis Temple (GBR),Woolwich,"September 21, 1850[3]"
1.675 m (5 ft 5+3⁄4 in), Hanmer Webb (GBR),Cambridge,"March 17, 1857[3]"
1.675 m (5 ft 5+3⁄4 in), Henry Powell (GBR),Oxford,"March 15, 1860[3]"
1.70 m (5 ft 6+3⁄4 in), Robert Burton (GBR),Harrow,"March 27, 1860[3]"
1.675 m (5 ft 5+3⁄4 in), Henry Sampson (GBR),Liverpool,"June 13, 1863[3]"
1.675 m (5 ft 5+3⁄4 in), T. Bailey (GBR),Liverpool,"June 13, 1863[3]"
1.675 m (5 ft 5+3⁄4 in), Francis Gooch (GBR),Durham,"September 2, 1863[3]"
1.70 m (5 ft 6+3⁄4 in), Tom Mitchell (GBR),Liverpool,"July 9, 1864[3]"
1.725 m (5 ft 7+3⁄4 in), John Roupell (GBR),Cambridge,"March 5, 1866[3]"
1.75 m (5 ft 8+3⁄4 in), John Roupell (GBR),London,"March 23, 1866[3]"
1.75 m (5 ft 8+3⁄4 in), Thomas Little (GBR),London,"March 23, 1866[3]"
1.75 m (5 ft 8+3⁄4 in), J.A. Harwood (GBR),London,"November 26, 1866[3]"
1.75 m (5 ft 8+3⁄4 in), Herbert Brooks (GBR),London,"November 26, 1866[3]"
1.75 m (5 ft 8+3⁄4 in), Thomas Little (GBR),London,"April 12, 1867[3]"
1.75 m (5 ft 8+3⁄4 in), Ronald Mitchell (GBR),London,"April 9, 1870[3]"
1.755 m (5 ft 9 in), Ronald Mitchell (GBR),London,"April 3, 1871[3]"
1.785 m (5 ft 10+1⁄4 in), Tom Davin (IRE),Dublin,"July 7, 1873[3]"
1.80 m (5 ft 10+3⁄4 in), Marshall Brooks (GBR),London,"March 30, 1874[3]"
1.80 m (5 ft 10+3⁄4 in), Michael Glazebrook (GBR),London,"March 22, 1875[3]"
1.83 m (6 ft 0 in), Marshall Brooks (GBR),Oxford,"March 17, 1876[3]"
1.89 m (6 ft 2+1⁄4 in), Marshall Brooks (GBR),London,"April 7, 1876[3]"
1.90 m (6 ft 2+3⁄4 in), Patrick Davin (IRE),Carrick,"July 5, 1880[3]"
1.91 m (6 ft 3 in), William Page (USA),Stourbridge,"August 15, 1887[3]"
1.93 m (6 ft 3+3⁄4 in), William Page (USA),Philadelphia,"October 7, 1887[3]"
1.968 m (6 ft 5+1⁄4 in)[a], George Rowdon (GBR),Haytor Camp,"August 6, 1890[3]"
1.935 m (6 ft 4 in), Michael Sweeney (USA),New York City,"October 8, 1892[3]"
1.945 m (6 ft 4+1⁄2 in), James Ryan (IRE),Tipperary,"August 19, 1895[3]"
1.955 m (6 ft 4+3⁄4 in), Michael Sweeney (USA),New York City,"August 28, 1895[3]"
1.955 m (6 ft 4+3⁄4 in), Michael Sweeney (USA),Bayonne,"September 2, 1895[3]"
1.97 m (6 ft 5+1⁄2 in), Michael Sweeney (USA),New York City,"September 21, 1895[3][4][5]"
1.98 m (6 ft 5+3⁄4 in), George Horine (USA),Palo Alto,"March 29, 1912[3]"
2.00 m (6 ft 6+1⁄2 in), George Horine (USA),"Palo Alto, California",18 May 1912[1]
2.01 m (6 ft 7 in), Edward Beeson (USA),"Berkeley, California",2 May 1914[7]
2.03 m (6 ft 7+3⁄4 in), Harold Osborn (USA),"Urbana, Illinois",27 May 1924[8]
2.04 m (6 ft 8+1⁄4 in), Walter Marty (USA),"Fresno, California",13 May 1933[1]
2.06 m (6 ft 9 in), Walter Marty (USA),"Palo Alto, California",28 April 1934[1]
2.07 m (6 ft 9+1⁄4 in), Cornelius Johnson (USA),New York,12 July 1936[1]
2.07 m (6 ft 9+1⁄4 in), Dave Albritton (USA),New York,12 July 1936[1]
2.09 m (6 ft 10+1⁄4 in), Mel Walker (USA),"Malmö, Sweden",12 August 1937[1]
2.11 m (6 ft 11 in), Lester Steers (USA),Los Angeles,17 June 1941[1]
2.12 m (6 ft 11+1⁄4 in), Walt Davis (USA),"Dayton, Ohio",27 June 1953[1]
2.15 m (7 ft 1⁄2 in), Charles Dumas (USA),Los Angeles,29 June 1956[1]
2.16 m (7 ft 1 in), Yuriy Stepanov (URS),"Leningrad, Soviet Union",13 July 1957[1]
2.17 m (7 ft 1+1⁄4 in), John Thomas (USA),Philadelphia,30 April 1960[1]
