Mark,Wind,Athlete,Place,Date
  5.16 m (16 ft 11 in),,  Marie Mejzlíková II (TCH)," Prague, Czechoslovakia", 6 August 1922[2]
  5.30 m (17 ft 4+1⁄2 in),,  Marie Mejzlíková II (TCH)," Prague, Czechoslovakia", 23 September 1923[2]
  5.485 m (17 ft 11+3⁄4 in),,  Muriel Gunn (GBR)," London, United Kingdom", 2 August 1926[2]
  5.50 m (18 ft 1⁄2 in),,  Kinue Hitomi (JPN)," Gothenburg, Sweden", 28 August 1926[2]
  5.575 m (18 ft 3+1⁄4 in),,  Muriel Gunn (GBR)," London, United Kingdom", 1 August 1927[2]
  5.98 m (19 ft 7+1⁄4 in),,  Kinue Hitomi (JPN)," Osaka, Japan", 20 May 1928[2]
  6.12 m (20 ft 3⁄4 in),,  Christel Schulz (GER)," Berlin, Germany", 30 July 1939[2]
  6.25 m (20 ft 6 in),,  Fanny Blankers-Koen (NED)," Leiden, Netherlands", 19 September 1943[2]
  6.28 m (20 ft 7 in),0.2,  Yvette Williams (NZL)," Gisborne, New Zealand", 20 February 1954[2]
  6.28 m (20 ft 7 in),1.3,  Galina Vinogradova (URS)," Moscow, Soviet Union", 11 September 1955[2]
  6.31 m (20 ft 8+1⁄4 in),0.5,  Galina Vinogradova (URS)," Tbilisi, Soviet Union", 18 November 1955[2]
  6.35 m (20 ft 10 in),1.0,  Elżbieta Krzesińska (POL)," Budapest, Hungary", 20 August 1956[2]
  6.35 m (20 ft 10 in),,  Elżbieta Krzesińska (POL)," Melbourne, Australia", 27 November 1956[2]
  6.40 m (20 ft 11+3⁄4 in),0.0,  Hildrun Claus (GDR)," Erfurt, East Germany", 7 August 1960[2]
  6.42 m (21 ft 3⁄4 in),1.4,  Hildrun Claus (GDR)," East Berlin, East Germany", 23 June 1961[2]
  6.48 m (21 ft 3 in),−1.5,  Tatyana Shchelkanova (URS)," Moscow, Soviet Union", 16 July 1961[2]
  6.53 m (21 ft 5 in),1.5,  Tatyana Shchelkanova (URS)," Leipzig, East Germany", 10 June 1962[2]
  6.70 m (21 ft 11+3⁄4 in),,  Tatyana Shchelkanova (URS)," Moscow, Soviet Union", 4 July 1964[2]
  6.76 m (22 ft 2 in),−1.6,  Mary Rand (GBR)," Tokyo, Japan", 14 October 1964[2]
  6.82 m (22 ft 4+1⁄2 in) A,0.0,  Viorica Viscopoleanu (ROU)," Mexico City, Mexico", 14 October 1968[2]
  6.84 m (22 ft 5+1⁄4 in),0.0,  Heide Rosendahl (FRG)," Torino, Italy", 3 September 1970[2]
  6.92 m (22 ft 8+1⁄4 in),1.6,  Angela Voigt (GDR)," Dresden, East Germany", 9 May 1976[2]
  6.99 m (22 ft 11 in),2.0,  Siegrun Siegl (GDR)," Dresden, East Germany", 19 May 1976[2]
  7.07 m (23 ft 2+1⁄4 in),1.9,  Vilma Bardauskiené (URS)," Kishinyov, Soviet Union", 18 August 1978[2]
  7.09 m (23 ft 3 in),0.0,  Vilma Bardauskiené (URS)," Prague, Czechoslovakia", 29 August 1978[2]
  7.15 m (23 ft 5+1⁄4 in),0.3,  Anişoara Cuşmir (ROU)," Bucharest, Romania", 1 August 1982[2]
  7.20 m (23 ft 7+1⁄4 in),−0.3,  Valy Ionescu (ROU)," Bucharest, Romania", 1 August 1982[2]
  7.21 m (23 ft 7+3⁄4 in),0.6,  Anişoara Cuşmir (ROU)," Bucharest, Romania", 15 May 1983[2]
  7.27 m (23 ft 10 in),0.6,  Anişoara Cuşmir (ROU)," Bucharest, Romania", 4 June 1983[2]
  7.43 m (24 ft 4+1⁄2 in),1.4,  Anişoara Cuşmir (ROU)," Bucharest, Romania", 4 June 1983[2]
  7.44 m (24 ft 4+3⁄4 in),2.0,  Heike Drechsler (GDR)," East Berlin, East Germany", 22 September 1985[2]
  7.45 m (24 ft 5+1⁄4 in),0.9,  Heike Drechsler (GDR)," Tallinn, Soviet Union", 21 June 1986[2]
  7.45 m (24 ft 5+1⁄4 in),1.1,  Heike Drechsler (GDR)," Dresden, East Germany", 3 July 1986[2]
  7.45 m (24 ft 5+1⁄4 in),0.6,  Jackie Joyner-Kersee (USA)," Indianapolis, United States", 13 August 1987[2]
  7.45 m (24 ft 5+1⁄4 in),1.0,  Galina Chistyakova (URS)," Leningrad, Soviet Union", 11 June 1988[2]
  7.52 m (24 ft 8 in),1.4,  Galina Chistyakova (URS)," Leningrad, Soviet Union", 11 June 1988[2]
