Time,Name,Nationality,Date,Meet,Location
1:07.7,Cathy Ferguson, United States,14 October 1964,Olympic Games,"Tokyo, Japan"
1:07.4,Ann Farlie, South Africa,23 July 1966,-,"Béziers, France"
1:07.3,Elaine Tanner, Canada,27 July 1967,Pan American Games,"Winnipeg, Canada"
1:07.1,Elaine Tanner, Canada,30 July 1967,Pan American Games,"Winnipeg, Canada"
1:06.7,Karen Muir, South Africa,30 January 1968,-,"Kimberley, South Africa"
1:06.4,Karen Muir, South Africa,6 April 1968,-,"Paris, France"
1:06.2,Kaye Hall, United States,22 October 1968,Olympic Games,"Mexico City, Mexico"
1:05.6,Karen Muir, South Africa,6 July 1969,-,"Utrecht, Netherlands"
1:05.39,Ulrike Richter, East Germany,18 August 1973,-,"Utrecht, Netherlands"
1:04.99,Ulrike Richter, East Germany,4 September 1973,World Championships,"Belgrade, Socialist Federal Republic of Yugoslavia"
1:04.78,Wendy Cook, Canada,31 January 1974,Commonwealth Games,"Christchurch, New Zealand"
1:04.43,Ulrike Richter, East Germany,8 July 1974,-,"Rostock, East Germany"
1:04.09,Ulrike Richter, East Germany,22 August 1974,European Championships,"Vienna, Austria"
1:03.30,Ulrike Richter, East Germany,23 August 1974,European Championships,"Vienna, Austria"
1:02.98,Ulrike Richter, East Germany,1 September 1974,USA Vs. GDR Dual Meet,"Concord, United States"
1:02.60,Ulrike Richter, East Germany,14 March 1976,-,"Tallinn, Soviet Union"
1:01.62,Kornelia Ender, East Germany,3 June 1976,-,"East Berlin, East Germany"
1:01.51,Ulrike Richter, East Germany,5 June 1976,-,"East Berlin, East Germany"
1:01.51,Rica Reinisch, East Germany,20 July 1980,Olympic Games,"Moscow, Soviet Union"
1:01.50,Rica Reinisch, East Germany,22 July 1980,Olympic Games,"Moscow, Soviet Union"
1:00.86,Rica Reinisch, East Germany,23 July 1980,Olympic Games,"Moscow, Soviet Union"
1:00.59,Ina Kleber, East Germany,24 August 1984,Friendship Games,"Moscow, Soviet Union"
1:00.31,Krisztina Egerszegi, Hungary,24 August 1991,European Championships,"Athens, Greece"
1:00.16,He Cihong, China,10 September 1994,World Championships,"Rome, Italy"
59.58,Natalie Coughlin, United States,13 August 2002,US National Championships,"Fort Lauderdale, United States"
59.44,Natalie Coughlin, United States,27 March 2007,World Championships,"Melbourne, Australia"
59.21,Natalie Coughlin, United States,17 February 2008,US Grand Prix,"Columbia, United States"
59.15,Hayley McGregory, United States,30 June 2008,US Olympic Trials,"Omaha, United States"
59.03,Natalie Coughlin, United States,30 June 2008,US Olympic Trials,"Omaha, United States"
58.97,Natalie Coughlin, United States,1 July 2008,US Olympic Trials,"Omaha, United States"
58.77,Kirsty Coventry, Zimbabwe,11 August 2008,Olympic Games,"Beijing, China"
58.48,Anastasia Zuyeva, Russia,27 July 2009,World Championships,"Rome, Italy"
58.12,Gemma Spofforth, Great Britain,28 July 2009,World Championships,"Rome, Italy"
58.10,Kylie Masse, Canada,25 July 2017,World Championships,"Budapest, Hungary"
58.00,Kathleen Baker, United States,28 July 2018,US National Championships,"Irvine, United States"
57.57,Regan Smith, United States,28 July 2019,World Championships,"Gwangju, South Korea"
57.45,Kaylee McKeown, Australia,13 June 2021,Australian Trials,"Adelaide, Australia"
57.33,Kaylee McKeown, Australia,21 October 2023,World Cup,"Budapest, Hungary"
57.13,Regan Smith, United States,18 June 2024,US Olympic Trials,"Indianapolis, United States"
