No,Time,Name,Nationality,Date,Location,
1,"3'04""4",Oscar Schiele,  Germany,27 June 1909,"Berlin, Germany[1]",
2,"2'59""8",George Arnold,  Germany,3 January 1910,"Magdeburg, Germany",
3,"2'56""4",Maurice Wechesser, Belgium,18 October 1910,"Schaerbeek, Belgium",
4,"2'50""6",Hermann Pentz,  Germany,11 March 1911,"Magdeburg, Germany",
5,"2'48""4",Otto Fahr,  Germany,3 April 1912,"Magdeburg, Germany",
6,"2'47""1",Walter Laufer, United States,24 June 1926,"Bremen, Germany[2]",
7,"2'44""9",Walter Laufer, United States,11 July 1926,"Nuremberg, Germany",
8,"2'38""8",Walter Laufer, United States,13 July 1926,"Magdeburg, Germany[3][4]",
9,"2'37""8",Toshio Irie, Japan,14 October 1928,"Tamagawa, Japan[5]",
10,"2'32""2",George Kojac, United States,16 June 1930,"New Haven, United States",
11,"2'27""8",Al Vande Weghe, United States,30 August 1934,"Honolulu, Hawaii",
12,"2'24""0",Adolph Kiefer, United States,11 April 1935,"Chicago, United States",
13,"2'23""0",Adolph Kiefer, United States,23 May 1941,"Honolulu, Hawaii",
14,"2'22""9",Harry Holiday, United States,18 May 1943,"Detroit, United States",
15,"2'19""3",Adolph Kiefer, United States,4 March 1944,"Annapolis, United States",
1,2:18.5,Allen Stack, United States,4 May 1949,"New Haven, United States",[6][7]
2,2:18.3,Gilbert Bozon, France,26 June 1953,"Algiers, Algeria",[6]
3,2:18.8,John Monckton,  Australia,15 January 1958,"Sydney, Australia",[6]
4,2:18.4,John Monckton,  Australia,18 February 1958,"Melbourne, Australia",[6]
5,2:17.9,Frank McKinney, United States,12 July 1959,"Los Altos, United States",[6][8]
6,2:17.8,Frank McKinney, United States,25 July 1959,"Osaka, Japan",[6][9]
7,2:17.6,Chuck Bittick, United States,26 June 1960,"Los Angeles, United States",[6]
8,2:16.0,Tom Stock, United States,24 July 1960,"Toledo, United States",[6]
9,2:13.2,Tom Stock, United States,2 July 1961,"Chicago, United States",[6]
10,2:11.5,Tom Stock, United States,20 August 1961,"Los Angeles, United States",[6]
11,2:10.9,Tom Stock, United States,10 August 1962,"Cuyahoga Falls, United States",[6]
12,2:10.3,Jed Graef, United States,13 October 1964,"Tokyo, Japan",[6]
13,2:09.4,Charles Hickcox, United States,29 August 1967,"Tokyo, Japan",[6]
14,2:07.9,Roland Matthes,  East Germany,8 November 1967,"Leipzig, East Germany",[6]
15,2:07.5,Roland Matthes,  East Germany,14 August 1968,"Leipzig, East Germany",[6]
16,2:07.4,Roland Matthes,  East Germany,12 July 1969,"Santa Clara, United States",[6][10]
17,2:06.6,Gary Hall, United States,14 August 1969,"Louisville, United States",[6]
17,2:06.6,Roland Matthes,  East Germany,29 August 1969,"Berlin, West Germany",[6]
18,2:06.3,Mike Stamm, United States,20 August 1970,"Los Angeles, United States",[6]
19,2:06.1,Roland Matthes,  East Germany,11 September 1970,"Barcelona, Spain",[6]
20,2:05.6,Roland Matthes,  East Germany,3 September 1971,"Leipzig, East Germany",[6]
21,2:02.8,Roland Matthes,  East Germany,10 July 1972,"Leipzig, East Germany",[6]
21,2:02.82,Roland Matthes,  East Germany,2 September 1972,"Munich, West Germany",[6]
22,2:01.87,Roland Matthes,  East Germany,6 September 1973,"Belgrade, Socialist Federal Republic of Yugoslavia",[6]
23,2:00.64,John Naber, United States,19 June 1976,"Long Beach, United States",[6]
24,1:59.19,John Naber, United States,24 July 1976,"Montreal, Canada",[6]
25,1:58.93,Rick Carey, United States,3 August 1983,"Clovis, United States",[6][11]
26,1:58.86,Rick Carey, United States,27 June 1984,"Indianapolis, United States",[6]
27,1:58.41,Sergei Zabolotnov,  Soviet Union,21 August 1984,"Moscow, Soviet Union",[6]
28,1:58.14,Igor Polyansky,  Soviet Union,3 March 1985,"Erfurt, East Germany",[6]
29,1:57.30,Martin Zubero, Spain,13 August 1991,"Fort Lauderdale, United States",[6][12]
30,1:56.57,Martin Zubero, Spain,23 November 1991,"Tuscaloosa, United States",[6][13]
31,1:55.87,Lenny Krayzelburg, United States,27 August 1999,"Sydney, Australia",[6]
32,1:55.15,Aaron Peirsol, United States,20 March 2002,"Minneapolis, United States",[6]
33,1:54.74,Aaron Peirsol, United States,12 July 2004,"Long Beach, United States",[14]
34,1:54.66,Aaron Peirsol, United States,29 July 2005,"Montreal, Canada",[15]
35,1:54.44,Aaron Peirsol, United States,19 August 2006,"Victoria, Canada",[16]
36,1:54.32,Ryan Lochte, United States,30 March 2007,"Melbourne, Australia",[17]
36,1:54.32,Aaron Peirsol, United States,4 July 2008,"Omaha, United States",[18]
37,1:53.94,Ryan Lochte, United States,15 August 2008,"Beijing, China",
-,1:52.86,Ryosuke Irie, Japan,10 May 2009,"Canberra, Australia",[19]
38,1:53.08,Aaron Peirsol, United States,11 July 2009,"Indianapolis, United States",[20]
39,1:51.92,Aaron Peirsol, United States,31 July 2009,"Rome, Italy",[21]
