Time,Name,Nationality,Date,Meet,Location
25.13,Jeff Rouse, United States,15 April 1993,Robert Burns Invitational,"Edinburgh, United Kingdom"
24.99,Lenny Krayzelburg, United States,28 August 1999,Pan Pacific Championships,"Sydney, Australia"
24.80,Thomas Rupprath, Germany,27 July 2003,World Championships,"Barcelona, Spain"
24.47,Liam Tancock, Great Britain,2 April 2008,British Championships,"Sheffield, United Kingdom"
24.33,Randall Bal, United States,5 December 2008,Eindhoven Cup,"Eindhoven, Netherlands"
24.08,Liam Tancock, Great Britain,1 August 2009,World Championships,"Rome, Italy"
24.04,Liam Tancock, Great Britain,2 Aug 2009,World Championships,"Rome, Italy"
24.00,Kliment Kolesnikov, Russia,4 Aug 2018,European Championships,"Glasgow, United Kingdom"
23.93,Kliment Kolesnikov, Russia,17 May 2021,European Championships,"Budapest, Hungary"
23.80,Kliment Kolesnikov, Russia,18 May 2021,European Championships,"Budapest, Hungary"
23.71,Hunter Armstrong, United States,28 April 2022,USA International Team Trials,"Greensboro, United States"
23.55,Kliment Kolesnikov, Russia,27 July 2023,Russian Cup,"Kazan, Russia"
