Time,Name,Nationality,Date,Meet,Location
3:09.2,Frederick Holman, Great Britain,18 July 1908,-,"London, United Kingdom"
3:08.3,Robert Andersson, Great Britain,18 April 1909,-,"Stockholm, Sweden"
3:00.8,Félicien Courbet, Belgium,2 October 1910,-,"Schaerbeek, Belgium"
2:56.6,Percy Courtman, Great Britain,28 July 1914,-,"Garston, United Kingdom"
2:54.4,Erich Rademacher, Germany,12 November 1922,-,"Amsterdam, Netherlands"
2:52.6,Bob Skelton, United States,24 March 1924,-,"Milwaukee, United States"
2:50.4,Erich Rademacher, Germany,7 April 1924,-,"Magdeburg, Germany"
2:48.0,Erich Rademacher, Germany,11 March 1927,-,"Brussels, Belgium"
2:45.0,Yoshiyuki Tsuruta, Japan,29 July 1927,-,"Kyoto, Japan"
2:44.6,Lionel Spence, United States,2 April 1931,-,"Chicago, United States"
2:44.0,Lionel Spence, United States,1 April 1932,-,"New Haven, United States"
2:42.6,Jacques Cartonnet, United States,8 February 1933,-,"Paris, France"
2:42.4,Erwin Sietas, Germany,16 March 1935,-,"Düsseldorf, Germany"
2:39.6,Jacques Cartonnet, France,4 May 1935,-,"Paris, France"
2:37.2,Jack Kasley, United States,28 March 1936,-,"New Haven, United States"
2:36.8,Alfred Nakache, France,6 July 1941,-,"Marseille, France"
2:35.6,Joe Verdeur, United States,5 April 1946,-,"Bainbridge, United States"
2:35.0,Joe Verdeur, United States,15 February 1947,-,"New Haven, United States"
2:32.0,Joe Verdeur, United States,14 February 1948,-,"New Haven, United States"
2:30.5,Joe Verdeur, United States,2 April 1948,-,"New Haven, United States"
2:30.0,Joe Verdeur, United States,28 June 1948,-,"New Haven, United States"
2:36.3,Joe Verdeur, United States,10 July 1948,-,"Detroit, United States"
2:28.3,Joe Verdeur, United States,15 February 1950,-,"New Haven, United States"
2:34.4,Herbert Klein, Germany,13 August 1950,-,"Göppingen, West Germany"
2:27.3,Herbert Klein, Germany,9 June 1951,-,"Munich, West Germany"
2:34.4,John Davies, Australia,1 August 1952,-,"Helsinki, Finland"
2:37.4,Knud Gleie, Denmark,14 February 1953,-,"Copenhagen, Denmark"
2:36.6,Masaru Furukawa, Japan,10 April 1954,-,"Tokyo, Japan"
2:35.4,Masaru Furukawa, Japan,10 April 1954,-,"Tokyo, Japan"
2:35.2,Mamoru Tanaka, Japan,17 September 1954,-,"Tokyo, Japan"
2:33.7,Masaru Furukawa, Japan,5 August 1955,-,"Tokyo, Japan"
2:31.0,Masaru Furukawa, Japan,1 October 1955,-,"Tokyo, Japan"
2:36.5,Terry Gathercole, Australia,28 June 1958,-,"Townsville, Australia"
2:33.6,Chet Jastremski, United States,28 July 1961,-,"Tokyo, Japan"
2:29.6,Chet Jastremski, United States,19 August 1961,-,"Los Angeles, United States"
2:28.2,Chet Jastremski, United States,30 August 1964,-,"New York City, United States"
2:27.8,Ian O'Brien, Australia,15 October 1964,Olympic Games,"Tokyo, Japan"
2:27.4,Vladimir Kosinsky, Soviet Union,3 April 1968,-,"Tallinn, Soviet Union"
2:26.5,Nikolai Pankin, Soviet Union,22 March 1969,-,"Minsk, Soviet Union"
2:25.4,Nikolai Pankin, Soviet Union,19 April 1969,-,"Magdeburg, East Germany"
2:23.5,Brian Job, United States,22 August 1970,AAU National Championships,"Los Angeles, United States"
2:22.79,John Hencken, United States,5 August 1972,US Olympic Trials,"Chicago, United States"
2:21.55,John Hencken, United States,2 September 1972,Olympic Games,"Munich, West Germany"
2:20.52,John Hencken, United States,24 August 1973,US National Championships,"Louisville, United States"
2:19.28,David Wilkie, Great Britain,6 September 1973,World Championships,"Belgrade, Socialist Federal Republic of Yugoslavia"
2:18.93,John Hencken, United States,24 August 1974,AAU National Championships,"Concord, United States"
2:18.21,John Hencken, United States,1 September 1974,USA vs GDR Dual Meet,"Concord, United States"
2:15.11,David Wilkie, Great Britain,24 July 1976,Olympic Games,"Montreal, Canada"
2:14.77,Victor Davis, Canada,5 August 1982,World Championships,"Guayaquil, Ecuador"
2:14.58,Victor Davis, Canada,17 June 1984,-,"Etobicoke, Canada"
2:13.34,Victor Davis, Canada,2 August 1984,Olympic Games,"Los Angeles, United States"
2:12.90,Mike Barrowman, United States,4 August 1989,US National Championships,"Los Angeles, United States"
2:12.90,Nick Gillingham, Great Britain,19 August 1989,European Championships,"Bonn, West Germany"
2:12.89,Mike Barrowman, United States,20 August 1989,Pan Pacific Championships,"Tokyo, Japan"
2:11.53,Mike Barrowman, United States,20 July 1990,Goodwill Games,"Seattle, United States"
2:11.23,Mike Barrowman, United States,11 January 1991,World Championships,"Perth, Australia"
2:10.60,Mike Barrowman, United States,13 August 1991,US National Championships,"Fort Lauderdale, United States"
2:10.16,Mike Barrowman, United States,29 July 1992,Olympic Games,"Barcelona, Spain"
2:09.97,Kosuke Kitajima, Japan,2 October 2002,Asian Games,"Busan, South Korea"
2:09.52,Dimitri Komornikov, Russia,15 June 2003,Mare Nostrum,"Barcelona, Spain"
2:09.42,Kosuke Kitajima, Japan,24 July 2003,World Championships,"Barcelona, Spain"
2:09.04,Brendan Hansen, United States,11 July 2004,US Olympic Trials,"Long Beach, United States"
2:08.74,Brendan Hansen, United States,5 August 2006,US National Championships,"Irvine, United States"
2:08.50,Brendan Hansen, United States,21 August 2006,Pan Pacific Championships,"Victoria, Canada"
2:07.51,Kosuke Kitajima, Japan,8 June 2008,Japan Open,"Tokyo, Japan"
2:07.31,Christian Sprenger, Australia,30 July 2009,World Championships,"Rome, Italy"
2:07.28,Dániel Gyurta, Hungary,1 August 2012,Olympic Games,"London, United Kingdom"
2:07.01,Akihiro Yamaguchi, Japan,15 September 2012,Japanese Sports Festival,"Gifu, Japan"
2:06.67,Ippei Watanabe, Japan,29 January 2017,Kosuke Kitajima Cup,"Tokyo, Japan"
2:06.67,Matthew Wilson, Australia,25 July 2019,World Championships,"Gwangju, South Korea"
2:06.12,Anton Chupkov, Russia,26 July 2019,World Championships,"Gwangju, South Korea"
2:05.95,Zac Stubblety-Cook, Australia,22 May 2022,Australian Championships,"Adelaide, Australia"
2:05.48,Qin Haiyang, China,27 July 2023,World Championships,"Fukuoka, Japan"
