Time,Name,Nationality,Date,Meet,Location
3:38.2,Ellie Van Den Bogaert, Belgium,7 August 1921,-,"Antwerp, Belgium"
3:34.6,Ellie Van Den Bogaert, Belgium,6 May 1922,-,"Brussels, Belgium"
3:31.4,Ellie Van Den Bogaert, Belgium,4 October 1922,-,"Antwerp, Belgium"
3:20.4,Irene Gilbert, Great Britain,18 June 1923,-,"Rotherham, United Kingdom"
3:20.2,Erna Murray, Germany,5 April 1925,-,"Leipzig, Germany"
3:19.1,Brita Hazelius, Sweden,11 August 1926,-,"Stockholm, Sweden"
3:18.4,Mietje Baron, Netherlands,24 October 1926,-,"Brussels, Belgium"
3:16.6,Else Jacobsen, Denmark,20 August 1927,-,"Oslo, Norway"
3:15.8,Charlotte Mühe, Germany,15 April 1928,-,"Magdeburg, Germany"
3:11.2,Mietje Baron, Netherlands,22 April 1928,-,"Rotterdam, Netherlands"
3:11.2,Charlotte Mühe, Germany,15 July 1928,-,"Berlin, Germany"
3:10.6,Margery Hinton, Great Britain,20 July 1931,-,"Manchester, United Kingdom"
3:08.4,Clare Dennis, Australia,18 January 1932,-,"Sydney, Australia"
3:08.2,Lisa Rocke, Germany,21 April 1932,-,"Leipzig, Germany"
3:03.4,Else Jacobsen, Denmark,11 May 1932,-,"Stockholm, Sweden"
3:00.4,Hideko Maehata, Japan,30 September 1933,-,"Tokyo, Japan"
3:00.2,Jopie Waalberg, Netherlands,11 May 1937,-,"Amsterdam, Netherlands"
2:58.0,Jopie Waalberg, Netherlands,27 June 1937,-,"Zaandijk, Netherlands"
2:56.9,Jopie Waalberg, Netherlands,2 October 1937,-,"Ghent, Belgium"
2:56.0,Maria Lenk, Brazil,8 November 1939,-,"Rio de Janeiro, Brazil"
2:55.5,Anni Kapell, United States,19 March 1941,-,"Düsseldorf, Germany"
2:52.6,Nel van Vliet, Netherlands,17 August 1946,-,"Bilthoven, Netherlands"
2:51.9,Nel van Vliet, Netherlands,29 March 1947,-,"Amsterdam, Netherlands"
2:49.2,Nel van Vliet, Netherlands,20 July 1947,-,"Hilversum, Netherlands"
2:48.8,Éva Novák, Hungary,21 October 1950,-,"Székesfehérvár, Hungary"
2:48.5,Éva Novák, Hungary,5 May 1951,-,"Moscow, Soviet Union"
2:46.4,Ada den Haan, Netherlands,13 November 1956,-,"Naarden, Netherlands"
2:52.6,Ada den Haan, Netherlands,18 May 1957,Netherlands vs Great Britain International,"Blackpool, United Kingdom"
2:51.9,Ada den Haan, Netherlands,3 August 1957,-,"Rhenen, Netherlands"
2:51.3,Ada den Haan, Netherlands,4 August 1957,-,"Rhenen, Netherlands"
2:50.3,Anita Lonsbrough, Great Britain,25 July 1959,Netherlands vs Great Britain International,"Waalwijk, Netherlands"
2:50.2,Wiltrud Urselmann, Germany,6 June 1960,-,"Aachen, West Germany"
2:49.5,Anita Lonsbrough, Great Britain,27 August 1960,Olympic Games,"Rome, Italy"
2:48.0,Karin Beyer, East Germany,5 August 1961,-,"Budapest, Hungary"
2:47.7,Galina Prozumenshchikova, Soviet Union,11 April 1964,-,"Blackpool, United Kingdom"
2:45.4,Galina Prozumenshchikova, Soviet Union,17 May 1964,-,"East Berlin, East Germany"
2:45.3,Galina Prozumenshchikova, Soviet Union,12 September 1965,-,"Groningen, Netherlands"
2:43.0,Irina Pozdnyakova, Soviet Union,16 July 1966,-,"Moscow, Soviet Union"
2:40.8,Galina Prozumenshchikova, Soviet Union,22 August 1966,European Championships,"Utrecht, Netherlands"
2:40.5,Catie Ball, United States,9 July 1967,Santa Clara Invitational,"Santa Clara, United States"
2:39.5,Catie Ball, United States,20 August 1967,AAU National Championships,"Philadelphia, United States"
2:38.5,Catie Ball, United States,26 August 1968,US Olympic Trials,"Los Angeles, United States"
2:37.89,Anne-Katrin Schott, East Germany,6 July 1974,GDR National Championships,"Rostock, East Germany"
2:37.44,Karla Linke, East Germany,19 August 1974,European Championships,"Vienna, Austria"
2:34.99,Karla Linke, East Germany,19 August 1974,European Championships,"Vienna, Austria"
2:33.35,Marina Koshevaya, Soviet Union,21 July 1976,Olympic Games,"Montreal, Canada"
2:33.32,Yulia Bogdanova, Soviet Union,7 April 1978,-,"Leningrad, Soviet Union"
2:33.11,Lina Kačiušytė, Soviet Union,24 August 1978,World Championships,"West Berlin, West Germany"
2:31.42,Lina Kačiušytė, Soviet Union,24 August 1978,World Championships,"West Berlin, West Germany"
