Time,Name,Nationality,Date,Meet,Location
1:03.4,György Tumpek, Hungary,26 May 1957,-,"Budapest, Hungary"
1:01.5,Takashi Ishimoto, Japan,16 June 1957,-,"Kurume, Japan"
1:01.3,Takashi Ishimoto, Japan,7 July 1957,-,"Tokyo, Japan"
1:01.2,Takashi Ishimoto, Japan,6 September 1957,-,"Kurume, Japan"
1:01.1,Takashi Ishimoto, Japan,29 June 1958,-,"Los Angeles, United States"
1:01.0,Takashi Ishimoto, Japan,14 September 1958,-,"Kōchi, Japan"
59.0,Lance Larson, United States,26 June 1960,-,"Los Angeles, United States"
58.7,Lance Larson, United States,24 July 1960,-,"Toledo, United States"
58.6,Fred Schmidt, United States,20 August 1961,-,"Los Angeles, United States"
58.4,Luis Nicolao, Argentina,24 April 1962,-,"Rio de Janeiro, Brazil"
57.0,Luis Nicolao, Argentina,27 April 1962,-,"Rio de Janeiro, Brazil"
56.3,Mark Spitz, United States,31 July 1967,Pan American Games,"Winnipeg, Canada"
56.3,Doug Russell, United States,29 August 1967,-,"Tokyo, Japan"
55.7,Mark Spitz, United States,7 October 1967,-,"West Berlin, West Germany"
55.6,Mark Spitz, United States,30 August 1968,US Olympic Trials,"Long Beach, United States"
55.0,Mark Spitz, United States,25 August 1971,AAU National Championships,"Houston, United States"
54.72,Mark Spitz, United States,4 August 1972,US Olympic Trials,"Chicago, United States"
54.56,Mark Spitz, United States,4 August 1972,US Olympic Trials,"Chicago, United States"
54.27,Mark Spitz, United States,31 August 1972,Olympic Games,"Munich, West Germany"
54.18,Joe Bottom, United States,27 August 1977,USA vs GDR Dual Meet,"East Berlin, East Germany"
54.15,Pär Arvidsson, Sweden,11 April 1980,US National Championships,"Austin, United States"
53.81,William Paulus, United States,3 April 1981,-,"Austin, United States"
53.44,Matt Gribble, United States,6 August 1983,US National Championships,"Clovis, United States"
53.38,Pablo Morales, United States,26 June 1984,US Olympic Trials,"Indianapolis, United States"
53.08,Michael Gross, West Germany,30 July 1984,Olympic Games,"Los Angeles, United States"
52.84,Pablo Morales, United States,23 June 1986,US National Championships,"Orlando, United States"
52.32,Denis Pankratov, Russia,23 August 1995,European Championships,"Vienna, Austria"
52.27,Denis Pankratov, Russia,24 July 1996,Olympic Games,"Atlanta, United States"
52.15,Michael Klim, Australia,9 October 1997,Australian Championships,"Brisbane, Australia"
52.03,Michael Klim, Australia,10 December 1999,AIS Meet,"Canberra, Australia"
51.81,Michael Klim, Australia,12 December 1999,AIS Meet,"Canberra, Australia"
51.76,Andriy Serdinov, Ukraine,25 July 2003,World Championships,"Barcelona, Spain"
51.47,Michael Phelps, United States,25 July 2003,World Championships,"Barcelona, Spain"
50.98,Ian Crocker, United States,26 July 2003,World Championships,"Barcelona, Spain"
50.76,Ian Crocker, United States,13 July 2004,US Olympic Trials,"Long Beach, United States"
50.40,Ian Crocker, United States,30 July 2005,World Championships,"Montreal, Canada"
50.22,Michael Phelps, United States,9 July 2009,US National Championships,"Indianapolis, United States"
50.01,Milorad Čavić, Serbia,31 July 2009,World Championships,"Rome, Italy"
49.82,Michael Phelps, United States,1 August 2009,World Championships,"Rome, Italy"
49.50,Caeleb Dressel, United States,26 July 2019,World Championships,"Gwangju, South Korea"
49.45,Caeleb Dressel, United States,31 July 2021,Olympic Games,"Tokyo, Japan"
