Time,Name,Nationality,Date,Meet,Location
2:40.5,Nancy Ramey, United States,29 June 1958,-,"Los Angeles, United States"
2:38.9,Tineke Lagerberg, Netherlands,13 September 1958,-,"Naarden, Netherlands"
2:37.0,Becky Collins, United States,19 July 1959,-,"Redding, United States"
2:34.4,Marianne Heemskerk, Netherlands,12 June 1960,-,"Leipzig, East Germany"
2:32.8,Becky Collins, United States,13 August 1961,-,"Philadelphia, United States"
2:31.2,Sharon Finneran, United States,19 August 1962,-,"Chicago, United States"
2:30.7,Sharon Finneran, United States,25 August 1962,-,"Los Altos, United States"
2:29.1,Susan Pitt, United States,27 July 1963,-,"Philadelphia, United States"
2:28.1,Sharon Stouder, United States,12 July 1964,-,"Los Angeles, United States"
2:26.4,Sharon Stouder, United States,2 August 1964,-,"Los Angeles, United States"
2:26.3,Kendis Moore, United States,15 August 1965,-,"Maumee, United States"
2:25.8,Ada Kok, Netherlands,21 August 1965,-,"Leiden, Netherlands"
2:25.3,Ada Kok, Netherlands,12 September 1965,-,"Groningen, Netherlands"
2:22.5,Ada Kok, Netherlands,2 August 1967,-,"Groningen, Netherlands"
2:21.0,Ada Kok, Netherlands,25 August 1967,-,"Blackpool, United Kingdom"
2:20.7,Karen Moe, United States,11 July 1970,-,"Santa Clara, United States"
2:19.3,Alice Jones, United States,22 August 1970,US National Championships,"Los Angeles, United States"
2:18.6,Karen Moe, United States,7 August 1971,-,"Santa Clara, United States"
2:18.4,Ellie Daniel, United States,28 August 1971,US National Championships,"Houston, United States"
2:16.62,Karen Moe, United States,6 August 1972,US Olympic Trials,"Chicago, United States"
2:15.57,Karen Moe, United States,4 September 1972,Olympic Games,"Munich, West Germany"
2:15.45,Rosemarie Kother, East Germany,8 September 1973,World Championships,"Belgrade, Socialist Federal Republic of Yugoslavia"
2:13.76,Rosemarie Kother, East Germany,8 September 1973,World Championships,"Belgrade, Socialist Federal Republic of Yugoslavia"
2:13.60,Rosemarie Gabriel, East Germany,14 March 1976,Soviet Union vs East Germany Dual Meet,"Tallinn, Soviet Union"
2:12.84,Rosemarie Gabriel, East Germany,4 June 1976,East German Championships,"East Berlin, East Germany"
2:11.22,Rosemarie Gabriel, East Germany,5 June 1976,East German Championships,"East Berlin, East Germany"
2:11.20,Andrea Pollack, East Germany,9 April 1978,-,"Leningrad, Soviet Union"
2:09.87,Andrea Pollack, East Germany,4 July 1978,East German Championships,"East Germany, East Germany"
2:09.87,Tracy Caulkins, United States,26 July 1978,World Championships,"West Berlin, West Germany"
2:09.77,Mary T. Meagher, United States,7 July 1979,Pan American Games,"San Juan, Puerto Rico"
2:08.41,Mary T. Meagher, United States,16 August 1979,US National Championships,"Fort Lauderdale, United States"
2:07.01,Mary T. Meagher, United States,16 August 1979,US National Championships,"Fort Lauderdale, United States"
2:06.37,Mary T. Meagher, United States,30 July 1980,US National Championships,"Irvine, United States"
2:05.96,Mary T. Meagher, United States,13 August 1981,US National Championships,"Brown Deer, United States"
2:05.81,Susie O'Neill, Australia,17 May 2000,Australian Championships,"Sydney, Australia"
2:05.78,Otylia Jędrzejczak, Poland,4 August 2002,European Championships,"Berlin, Germany"
2:05.61,Otylia Jędrzejczak, Poland,28 July 2005,World Championships,"Montreal, Canada"
2:05.40,Jessicah Schipper, Australia,17 August 2006,Pan Pacific Championships,"Victoria, Canada"
2:04.18,Liu Zige, China,14 August 2008,Olympic Games,"Beijing, China"
2:04.14,Mary DeScenza, United States,29 July 2009,World Championships,"Rome, Italy"
2:03.41,Jessicah Schipper, Australia,30 July 2009,World Championships,"Rome, Italy"
2:01.81,Liu Zige, China,21 October 2009,Chinese National Games,"Jinan, China"
