Time,Name,Nationality,Date,Meet,Location
2:56.0,Fanny Durack, Australia,4 March 1915,-,"Sydney, Australia"
2:47.6,Charlotte Boyle, United States,25 August 1921,-,"New Brighton, United States"
2:45.2,Gertrude Ederle, United States,4 April 1923,-,"Brooklyn, United States"
2:40.6,Martha Norelius, United States,28 February 1926,-,"Miami, United States"
2:34.6,Helene Madison, United States,6 March 1930,-,"St. Augustine, United States"
2:28.6,Willy den Ouden, Netherlands,3 May 1933,-,"Rotterdam, Netherlands"
2:27.6,Willy den Ouden, Netherlands,5 May 1934,-,"Dundee, United Kingdom"
2:25.3,Willy den Ouden, Netherlands,8 September 1935,-,"Copenhagen, Denmark"
2:24.6,Rie van Veen, Netherlands,26 February 1938,-,"Rotterdam, Netherlands"
2:21.7,Ragnhild Hveger, Denmark,11 September 1938,-,"Aarhus, Denmark"
2:20.7,Dawn Fraser, Australia,25 February 1956,-,"Sydney, Australia"
2:19.3,Lorraine Crapp, Australia,25 August 1956,-,"Townsville, Australia"
2:18.5,Lorraine Crapp, Australia,20 October 1956,-,"Sydney, Australia"
2:17.7,Dawn Fraser, Australia,10 February 1958,-,"Adelaide, Australia"
2:14.7,Dawn Fraser, Australia,22 February 1958,-,"Melbourne, Australia"
2:11.6,Dawn Fraser, Australia,27 February 1960,-,"Sydney, Australia"
2:10.5,Lillian Watson, United States,19 August 1966,-,"Lincoln, United States"
2:09.7,Pam Kruse, United States,19 August 1967,US National Championships,"Philadelphia, United States"
2:09.5,Susan Pederson, United States,6 July 1968,Santa Clara International,"Santa Clara, United States"
2:08.8,Edith Wetzel, United States,2 August 1968,US National Championships,"Lincoln, United States"
2:07.9,Linda Gustavson, United States,24 August 1968,US Olympic Trials,"Los Angeles, United States"
2:06.7,Debbie Meyer, United States,24 August 1968,US Olympic Trials,"Los Angeles, United States"
2:06.5,Shane Gould, Australia,1 May 1971,Coca-Cola International,"London, United Kingdom"
2:05.8,Shane Gould, Australia,26 November 1971,-,"Sydney, Australia"
2:05.21,Shirley Babashoff, United States,4 August 1972,US Olympic Trials,"Chicago, United States"
2:03.56,Shane Gould, Australia,1 September 1972,Olympic Games,"Munich, West Germany"
2:03.22,Kornelia Ender, East Germany,22 August 1974,European Championships,"Vienna, Austria"
2:02.94,Shirley Babashoff, United States,23 August 1974,US National Championships,"Concord, United States"
2:02.94,Shirley Babashoff, United States,31 August 1974,USA vs East Germany Dual Meet,"Concord, United States"
2:02.27,Kornelia Ender, East Germany,15 March 1975,East Germany vs Soviet Union Dual Meet,"Dresden, East Germany"
1:59.78,Kornelia Ender, East Germany,2 June 1976,East German Championships,"East Berlin, East Germany"
1:59.26,Kornelia Ender, East Germany,22 July 1976,Olympic Games,"Montreal, Canada"
1:59.04,Barbara Krause, East Germany,2 July 1978,East German Championships,"East Berlin, East Germany"
1:58.53,Cynthia Woodhead, United States,22 August 1978,World Championships,"West Berlin, West Germany"
1:58.43,Cynthia Woodhead, United States,3 July 1979,Pan American Games,"San Juan, Puerto Rico"
1:58.23,Cynthia Woodhead, United States,3 September 1979,World Cup,"Tokyo, Japan"
1:57.75,Kristin Otto, East Germany,23 May 1984,East German Championships,"Magdeburg, East Germany"
1:57.55,Heike Friedrich, East Germany,18 June 1986,East German Championships,"East Berlin, East Germany"
1:56.78,Franziska van Almsick, Germany,6 September 1994,World Championships,"Rome, Italy"
1:56.64,Franziska van Almsick, Germany,3 August 2002,European Championships,"Berlin, Germany"
1:56.47,Federica Pellegrini, Italy,27 March 2007,World Championships,"Melbourne, Australia"
1:55.52,Laure Manaudou, France,28 March 2007,World Championships,"Melbourne, Australia"
1:55.45,Federica Pellegrini, Italy,11 August 2008,Olympic Games,"Beijing, China"
1:54.82,Federica Pellegrini, Italy,13 August 2008,Olympic Games,"Beijing, China"
1:54.47,Federica Pellegrini, Italy,8 March 2009,Italian Championships,"Riccione, Italy"
1:53.67,Federica Pellegrini, Italy,28 July 2009,World Championships,"Rome, Italy"
1:52.98,Federica Pellegrini, Italy,29 July 2009,World Championships,"Rome, Italy"
1:52.85,Mollie O'Callaghan, Australia,26 July 2023,World Championships,"Fukuoka, Japan"
1:52.23,Ariarne Titmus, Australia,12 June 2024,Australian Trials,"Brisbane, Australia"
