Time,Name,Nationality,Date,Meet,Location
23.86,Jonty Skinner, South Africa,"Aug 14, 1976",US National Championships,"Philadelphia, Pennsylvania, United States"
23.74,Joe Bottom, United States,"Jul 3, 1977",Canada Cup,"Etobicoke, Canada"
23.72,Ron Manganiello, United States,"Jul 29, 1978",-,"Miami, Florida, United States"
23.70,Klaus Steinbach, West Germany,"Jul 23, 1979",-,"Freiburg, West Germany"
23.66,Chris Cavanaugh, United States,"Feb 2, 1980",International Invitational,"Amersfoort, Netherlands"
23.12,Chris Cavanaugh, United States,"Apr 10, 1980",US Spring National Championships,"Austin, Texas, United States"
22.96,Rowdy Gaines, United States,"Apr 10, 1980",US Spring National Championships,"Austin, Texas, United States"
22.83,Bruce Stahl, United States,"Apr 10, 1980",US Spring National Championships,"Austin, Texas, United States"
22.83,Joe Bottom, United States,"Aug 15, 1980",Hawaiian Invitational,"Honolulu, HI, United States"
22.71,Joe Bottom, United States,"Aug 15, 1980",Hawaiian Invitational,"Honolulu, HI, United States"
22.54,Robin Leamy, United States,"Aug 15, 1981",US National Championships,"Brown Deer, Wisconsin, United States"
22.52,Dano Halsall,  Switzerland,"Jul 21, 1985",Swiss Championships,"Bellinzona, Switzerland"
22.40,Tom Jager, United States,"Dec 6, 1985",USS Invitational,"Austin, Texas, United States"
22.33,Matt Biondi, United States,"Jun 26, 1986",USA World Championship Trials,"Orlando, Florida, United States"
22.33,Matt Biondi, United States,"Jul 30, 1987",US National Championships,"Clovis, California, United States"
22.32,Tom Jager, United States,"Aug 13, 1987",Pan Pacific Championships,"Brisbane, Australia"
22.23,Tom Jager, United States,"Mar 25, 1988",US Spring National Championships,"Orlando, Florida, United States"
22.18,Peter Williams, South Africa,"Apr 10, 1988",CSCA Invitational,"Indianapolis, Indiana, United States"
22.14,Matt Biondi, United States,"Sep 24, 1988",Olympic Games,"Seoul, South Korea"
22.12,Tom Jager, United States,"Aug 20, 1989",Pan Pacific Championships,"Tokyo, Japan"
21.98,Tom Jager, United States,"Mar 24, 1990",US Sprint,"Nashville, Tennessee, United States"
21.81,Tom Jager, United States,"Mar 24, 1990",US Sprint,"Nashville, Tennessee, United States"
21.64,Alexander Popov, Russia,"Jun 16, 2000",Russian Championships,"Moscow, Russia"
21.56,Eamon Sullivan, Australia,"Feb 17, 2008",NSW Championships,"Sydney, Australia"
21.50,Alain Bernard, France,"Mar 23, 2008",European Championships,"Eindhoven, Netherlands"
21.41,Eamon Sullivan, Australia,"Mar 27, 2008",Australian Championships,"Sydney, Australia"
21.28,Eamon Sullivan, Australia,"Mar 28, 2008",Australian Championships,"Sydney, Australia"
20.94,Frédérick Bousquet, France,"Apr 26, 2009",French Championships,"Montpellier, France"
20.91,César Cielo, Brazil,"Dec 18, 2009",Brazilian Championships,"São Paulo, Brazil"
