Time,Name,Nationality,Date,Meet,Location
4:10.2,"Zoltán Kiss
Gyula Dienes
Árpád Lengyel
Ferenc Csik", Hungary,"June 26, 1937",-,"Budapest, Hungary"
4:06.6,"Gyula Zolyomi
Istvan Korosi
Ödön Grófe
Ferenc Csik", Hungary,"August 15, 1937",-,"Budapest, Hungary"
4:03.6,"Hermann Heibel
Hans Freese
Edward Askamp
Helmuth Fischer", Germany,"March 5, 1938",-,"Bremen, Germany"
4:02.4,"Otto Wille
Werner Birr
Werner Plath
Kurt von Eckenbrecher", Germany,"April 1, 1938",-,"Copenhagen, Denmark"
4:02.0,"Gyula Zolyomi
Ferenc Csik
Istvan Korosi
Ödön Gróf", Hungary,"July 14, 1938",-,"Budapest, Hungary"
3:59.2,"Takashi Hirose
Otto Jaretz
Paul Wolf
Peter Fick", United States,"August 20, 1938",-,"Berlin, Nazi Germany"
3:54.4,"Willis Sanburn
Edward Pope
Russell Duncan
Howard Johnson", United States,"March 8, 1940",-,"New Haven, CT, United States"
3:50.8,"Howard Johnson
Richard Kelly
Edward Pope
Frank Lilley", United States,"March 18, 1942",-,"New Haven, CT, United States"
3:48.6,"Alan Ford
Edward Hueber
Frank Dooley
Howard Johnson", United States,"June 29, 1948",-,"New Haven, CT, United States"
3:47.9,"Dick Thoman
Don Sheff
William Farnsworth
Ray Reid", United States,"March 19, 1951",-,"New Haven, CT, United States"
3:46.8,"Hiroshi Suzuki
Atsushi Tani
Toru Goto
Manabu Koga", Japan,"August 6, 1955",-,"Tokyo, Japan"
3:46.3,"Gary Chapman
John Konrads
Geoff Shipton
John Devitt", Australia,"May 3, 1958",-,"Brisbane, Australia"
3:44.4,"Elton Follett
Lance Larson
Jeff Farrell
Joe Alkire", United States,"July 21, 1959",-,"Tokyo, Japan"
3:42.5,"Alain Gottvallès
Gerard Gropaiz
Jean-Pierre Curtillet
Robert Christophe", France,"August 10, 1962",-,"Thionville, France"
3:39.9,"Steve Clark
N. Schoenman
Don Schollander
Ed Townsend", United States,"July 4, 1963",-,"Los Altos, CA, United States"
3:36.1,"Steve Clark
Richard McDonough
Gary Ilman
Ed Townsend", United States,"August 18, 1963",-,"Tokyo, Japan"
3:33.2,"Steve Clark (52.9 =WR)
Mike Austin
Gary Ilman
Don Schollander", United States,"October 14, 1964",-,"Tokyo, Japan"
3:32.6,"Ken Walsh
Zac Zorn
Don Havens
Greg Charlton", United States,"August 28, 1967",-,"Tokyo, Japan"
3:32.5,"Zac Zorn (53.0)
Stephen Rerych (53.0)
Ken Walsh (53.4)
Don Schollander (53.1)", United States,"September 3, 1968",U.S. Olympic Trials,"Long Beach, CA, United States"
3:31.7,"Zac Zorn (53.4)
Stephen Rerych (52.8)
Mark Spitz (52.7)
Ken Walsh (52.8)", United States,"October 17, 1968",1968 Summer Olympics,"Mexico City, Mexico"
3:28.8,"Don Havens
Mike Weston
Bill Frawley
Frank Heckl", United States,"August 23, 1970",AAU Nationals,"Los Angeles, United States"
3:28.84,"Dave Fairbank (52.61)
Gary Conelly (51.69)
Jerry Heidenreich (51.89)
David Edgar (52.63)", United States,"August 28, 1972",1972 Summer Olympics,"Munich, West Germany"
3:26.42,"David Edgar (52.69)
John Murphy (52.04)
Jerry Heidenreich (50.78)
Mark Spitz (50.90)", United States,"August 28, 1972",1972 Summer Olympics,"Munich, West Germany"
3:25.17,"Joe Bottom
Andy Coan
Jim Montgomery
Tom Hickcox (50.8)", United States,"September 1, 1974",United States–East Germany dual meet,"Concord, CA, United States"
3:24.85,"Bruce Furniss (51.82)
Jim Montgomery (50.53)
Andy Coan (50.61)
John Murphy (51.89)", United States,"July 25, 1975",World Championships,"Cali, Colombia"
3:21.11,"Jack Babashoff (50.31)
Joe Bottom (50.45)
Rick DeMont (50.40)
Jim Montgomery (49.95)", United States,"August 28, 1977",United States–East Germany dual meet,"East Berlin, East Germany"
3:19.74,"Jack Babashoff (51.30)
Rowdy Gaines (49.52)
Jim Montgomery (49.66)
David McCagg (49.26)", United States,"August 22, 1978",World Championships,"West Berlin, West Germany"
3:19.26,"Chris Cavanaugh (50.13)
Robin Leamy (50.10)
David McCagg (49.89)
Rowdy Gaines (49.14)", United States,"August 5, 1982",World Championships,"Guayaquil, Ecuador"
3:19.03,"Chris Cavanaugh (50.83)
Mike Heath (49.60)
Matt Biondi (49.67)
Rowdy Gaines (48.93)", United States,"August 2, 1984",1984 Summer Olympics,"Los Angeles, United States"
3:17.08,"Scott McCadam (50.08)
Paul Wallace (49.51)
Mike Heath (49.83)
Matt Biondi (47.66)", United States,"August 17, 1985",1985 Pan Pacific Swimming Championships,"Tokyo, Japan"
3:16.53,"Chris Jacobs (49.63)
Troy Dalbey (49.75)
Tom Jager (49.34)
Matt Biondi (47.81)", United States,"September 23, 1988",1988 Summer Olympics,"Seoul, South Korea"
3:15.11,"David Fox (49.32)
Joe Hudepohl (49.11)
Jon Olsen (48.17)
Gary Hall, Jr. (48.51)", United States,"August 12, 1995",1995 Pan Pacific Swimming Championships,"Atlanta, GA, United States"
3:13.67,"Michael Klim (48.18 WR)
Chris Fydler (48.48)
Ashley Callus (48.71)
Ian Thorpe (48.30)", Australia,"September 16, 2000",2000 Summer Olympics,"Sydney, Australia"
3:13.17,"Roland Schoeman (48.17)
Lyndon Ferns (48.13)
Darian Townsend (48.96)
Ryk Neethling (47.91)", South Africa,"August 15, 2004",2004 Summer Olympics,"Athens, Greece"
3:12.46,"Michael Phelps (48.83)
Neil Walker (47.89)
Cullen Jones (47.96)
Jason Lezak (47.78)", United States,"August 19, 2006",Pan Pacific Championships,"Victoria, British Columbia, Canada"
3:12.23,"Nathan Adrian (48.82)
Cullen Jones (47.61)
Ben Wildman-Tobriner (48.03)
Matt Grevers (47.77)", United States,"August 10, 2008",2008 Summer Olympics,"Beijing, China"
3:08.24,"Michael Phelps (47.51)
Garrett Weber-Gale (47.02)
Cullen Jones (47.65)
Jason Lezak (46.06)", United States,"August 11, 2008",2008 Summer Olympics,"Beijing, China"
