Time,Nationality,Name,Date,Place
5:52.8, Great Britain,"Belle Moore (?)
Jennie Fletcher (?)
Annie Speirs (?)
Irene Steer (?)","July 15, 1912","Stockholm, Sweden"
5:11.6, United States,"Margaret Woodbridge (?)
Frances Schroth (?)
Irene Guest (?)
Ethelda Bleibtrey (?)","August 29, 1920","Antwerp, Belgium"
4:58.8, United States,"Gertrude Ederle (?)
Euphrasia Donnelly (?)
Ethel Lackie (?)
Mariechen Wehselau (?)","July 20, 1924","Paris, France"
4:55.6, United States,"Adelaide Lambert (?)
Josephine McKim (?)
Susan Laird (?)
Albina Osipowich (?)","August 9, 1928","Amsterdam, Netherlands"
4:47.6, United States,"Adelaide Lambert (?)
Eleanor Garatti (?)
Albina Osipowich (?)
Martha Norelius (?)","August 9, 1928","Amsterdam, Netherlands"
4:38.0, United States,"Josephine McKim (?)
Helen Johns (?)
Eleanor Garatti (?)
Helene Madison (?)","August 12, 1932","Los Angeles, United States"
4:33.3, Netherlands,"Jopie Selbach (?)
Annie Timmermans (?)
Rie Mastenbroek (?)
Willy den Ouden (?)","April 14, 1934","Rotterdam, Netherlands"
4:32.8, Netherlands,"Jopie Selbach (?)
Rie Mastenbroek (?)
Catherina Wagner (?)
Willy den Ouden (?)","May 24, 1936","Rotterdam, Netherlands"
4:29.7, Denmark,"Elvi Svendsen (?)
Gunvor Kraft (?)
Birte Ove-Petersen (?)
Ragnhild Hveger (?)","February 8, 1938","Copenhagen, Denmark"
4:27.6, Denmark,"Eva Arndt (?)
Gunvor Kraft (?)
Birte Ove-Petersen (?)
Ragnhild Hveger (?)","August 7, 1938","Copenhagen, Denmark"
4:27.2, Hungary,"Mária Littomericzky (?)
Éva Novák (?)
Éva Székely (?)
Katalin Szőke (?)","April 27, 1952","Moscow, Soviet Union"
4:24.4, Hungary,"Ilona Novák (1:07.8)
Judit Temes (1:05.8)
Éva Novák (1:05.1)
Katalin Szőke (1:05.7)","August 1, 1952","Helsinki, Finland"
4:22.3, Australia,"Lorraine Crapp (?)
Dawn Fraser (?)
Margaret Gibson (?)
Barbara Jackson (?)","October 20, 1956","Sydney, Australia"
4:19.7, Australia,"Lorraine Crapp (?)
Dawn Fraser (?)
Faith Leech (?)
Margaret Gibson (?)","October 25, 1956","Melbourne, Australia"
4:17.1, Australia,"Dawn Fraser (?)
Faith Leech (?)
Sandra Morgan (?)
Lorraine Crapp (1:03.1)","December 6, 1956","Melbourne, Australia"
4:16.2, Australia,"Dawn Fraser (?)
Alva Colquhoun (?)
Ilsa Konrads (?)
Lorraine Crapp (?)","August 6, 1960","Townsville, Australia"
4:08.9, United States,"Joan Spillane (?)
Shirley Stobs (?)
Carolyn Wood (?)
Chris von Saltza (?)","September 3, 1960","Rome, Italy"
4:08.5,  Santa Clara Swim Club,"Terri Stickles (?)
Donna de Varona (?)
Pokey Watson (?)
Judy Haroun (?)","July 31, 1964","Los Altos, United States"
4:07.6, United States,"Lynne Allsup (?)
Terri Stickles (?)
Kathy Seidel (?)
Eleanor Bricker (?)","September 28, 1964","Los Angeles, United States"
4:03.8, United States,"Sharon Stouder (?)
Donna de Varona (?)
Pokey Watson (?)
Kathy Ellis (?)","October 15, 1964","Tokyo, Japan"
4:03.5,  Santa Clara Swim Club,"Linda Gustavson (?)
Nancy Ryan (?)
Laura Fritz (?)
Pokey Watson (?)","August 19, 1967","Philadelphia, United States"
4:01.1,  Santa Clara Swim Club,"Linda Gustavson (?)
Pokey Watson (?)
Pam Carpinelli (?)
Jan Henne (?)","July 6, 1968","Santa Clara, United States"
4:00.8, East Germany,"Gabriele Wetzko
Iris Komar
Elke Sehmisch
Sabine Schulze","September 11, 1970","Barcelona, Spain"
4:00.7, United States,"Shirley Babashoff (?)
Kim Peyton (?)
Linda Johnson (?)
Deena Deardurff (?)","September 9, 1971","Minsk, Soviet Union"
3:58.11, United States,"Kim Peyton (?)
Sandy Neilson (?)
Jane Barkman (?)
Shirley Babashoff (?)","August 18, 1972","Knoxville, United States"
3:58.11, East Germany,"Sylvia Eichner (?)
Elke Sehmisch (?)
Andrea Eife (?)
Kornelia Ender (?)","August 30, 1972","Munich, West Germany"
3:55.19, United States,"Sandy Neilson (?)
Jenny Kemp (?)
Jane Barkman (?)
Shirley Babashoff (?)","August 30, 1972","Munich, West Germany"
3:52.45, East Germany,"Andrea Eife (?)
Andrea Hubner (?)
Sylvia Eichner (?)
Kornelia Ender (?)","September 8, 1973","Belgrade, Yugoslavia"
3:51.99, United States,"Ann Marshall (?)
Kim Peyton (?)
Kathy Heddy (?)
Shirley Babashoff (?)","August 31, 1974","Concord, United States"
3:49.37, East Germany,"Kornelia Ender (56.22 WR)
Barbara Krause (57.41)
Claudia Hempel (57.97)
Ute Bruckner (57.77)","July 26, 1975","Cali, Colombia"
3:48.80,  SC Dynamo Berlin,"Rosemarie Kother (?)
Andrea Pollack (?)
Monika Seltmann (?)
Barbara Krause (?)","June 2, 1976","East Berlin, East Germany"
3:44.82, United States,"Kim Peyton (56.95)
Wendy Boglioli (55.81)
Jill Sterkel (55.78)
Shirley Babashoff (56.28)","July 25, 1976","Montreal, Canada"
3:43.43, United States,"Tracy Caulkins (56.57)
Stephanie Elkins (55.92)
Jill Sterkel (55.70)
Cynthia Woodhead (55.24)","August 26, 1978",West Berlin
3:42.71, East Germany,"Barbara Krause (54.90)
Caren Metschuck (55.61)
Ines Diers (55.90)
Sarina Hülsenbeck (56.30)","July 27, 1980","Moscow, Soviet Union"
3:42.41, East Germany,"Birgit Meineke (?)
Kristin Otto (?)
Karen König (?)
Heike Friedrich (?)","August 21, 1984","Moscow, Soviet Union"
3:40.57, East Germany,"Kristin Otto (54.73 WR)
Manuela Stellmach (54.96)
Sabina Schulze (55.52)
Heike Friedrich (55.36)","August 19, 1986","Madrid, Spain"
3:39.46, United States,"Nicole Haislett (55.33)
Dara Torres (55.33)
Angel Martino (54.79)
Jenny Thompson (54.01)","July 28, 1992","Barcelona, Spain"
3:37.91, China,"Le Jingyi (54.31)
Shan Ying (54.38)
Le Ying (55.09)
Lü Bin (54.13)","September 7, 1994","Rome, Italy"
3:36.61, United States,"Amy Van Dyken (55.08)
Dara Torres (53.51)
Courtney Shealy (54.40)
Jenny Thompson (53.62)","September 16, 2000","Sydney, Australia"
3:36.00, Germany,"Katrin Meissner (54.82)
Petra Dallmann (53.95)
Sandra Völker (53.59)
Franziska van Almsick (53.64)","July 29, 2002","Berlin, Germany"
3:35.94, Australia,"Alice Mills (54.75)
Libby Lenton (53.57)
Petria Thomas (54.67)
Jodie Henry (52.95)","August 14, 2004","Athens, Greece"
3:35.22, Germany,"Petra Dallmann (54.53)
Daniela Götz (53.87)
Britta Steffen (52.66)
Annika Liebs (54.16)","July 31, 2006","Budapest, Hungary"
3:33.62, Netherlands,"Inge Dekker (53.77)
Ranomi Kromowidjojo (53.61)
Femke Heemskerk (53.62)
Marleen Veldhuis (52.62)","March 18, 2008","Eindhoven, Netherlands"
3:31.72, Netherlands,"Inge Dekker (53.61)
Ranomi Kromowidjojo (52.30)
Femke Heemskerk (53.03)
Marleen Veldhuis (52.78)","July 26, 2009","Rome, Italy"
3:30.98, Australia,"Bronte Campbell (53.15)
Melanie Schlanger (52.76)
Emma McKeon (52.91)
Cate Campbell (52.16)","July 24, 2014","Glasgow, Scotland"
3:30.65, Australia,"Emma McKeon (53.41)
Brittany Elmslie (53.12)
Bronte Campbell (52.15)
Cate Campbell (51.97)","August 6, 2016","Rio de Janeiro, Brazil"
3:30.05, Australia,"Shayna Jack (54.03)
Bronte Campbell (52.03)
Emma McKeon (52.99)
Cate Campbell (51.00)","April 5, 2018","Gold Coast, Australia"
3:29.69, Australia,"Bronte Campbell (53.01)
Meg Harris (53.09)
Emma McKeon (51.35)
Cate Campbell (52.24)","July 25, 2021","Tokyo, Japan"
3:27.96, Australia,"Mollie O'Callaghan (52.08)
Shayna Jack (51.69)
Meg Harris (52.29)
Emma McKeon (51.90)","July 23, 2023","Fukuoka, Japan"
