Time,Name,Nationality,Date,Meet,Location
8:02.27,"Kristin Otto
Astrid Strauss
Cornelia Sirch
Birgit Meineke", East Germany,22 Aug 1983,European Championships,"Rome, Italy"
7:59.33,"Manuela Stellmach (2:00.31)
Astrid Strauss (1:59.44)
Nadja Bergknecht (2:00.42)
Heike Friedrich (1:59.16)", East Germany,17 Aug 1986,World Championships,"Madrid, Spain"
7:55.47,"Manuela Stellmach (2:00.23)
Astrid Strauss (1:58.90)
Anke Möhring (1:58.73)
Heike Friedrich (1:57.61)", East Germany,18 Aug 1987,European Championships,"Strasbourg, France"
7:53.42,"Natalie Coughlin (1:57.74)
Carly Piper (1:59.39)
Dana Vollmer (1:58.12)
Kaitlin Sandeno (1:58.17)", United States,18 Aug 2004,Olympic Games,"Athens, Greece"
7:50.82,"Petra Dallmann (1:59.14)
Daniela Samulski (1:58.27)
Britta Steffen (1:57.77)
Annika Lurz (1:55.64)", Germany,3 Aug 2006,European Championships,"Budapest, Hungary"
7:50.09,"Natalie Coughlin (1:56.43)
Dana Vollmer (1:57.49)
Lacey Nymeyer (1:59.19)
Katie Hoff (1:56.98)", United States,29 Mar 2007,World Championships,"Melbourne, Australia"
7:44.31,"Stephanie Rice (1:56.60)
Bronte Barratt (1:56.58)
Kylie Palmer (1:55.22)
Linda Mackenzie (1:55.91)", Australia,14 August 2008,Olympic Games,"Beijing, China"
7:42.08,"Yang Yu (1:55.47)
Zhu Qianwei (1:55.79)
Liu Jing (1:56.09)
Pang Jiaying (1:54.73)", China,30 July 2009,World Championships,"Rome, Italy"
7:41.50,"Ariarne Titmus (1:54.27)
Madison Wilson (1:56.73)
Brianna Throssell (1:55.60)
Emma McKeon (1:54.90)", Australia,25 July 2019,World Championships,"Gwangju, South Korea"
7:40.33,"Yang Junxuan (1:54.37)
Tang Muhan (1:55.00)
Zhang Yufei (1:55.66)
Li Bingjie (1:55.30)", China,29 July 2021,Olympic Games,"Tokyo, Japan"
7:39.29,"Madison Wilson (1:56.27)
Kiah Melverton (1:55.40)
Mollie O'Callaghan (1:54.80)
Ariarne Titmus (1:52.82)", Australia,31 July 2022,Commonwealth Games,"Birmingham, United Kingdom"
7:37.50,"Mollie O'Callaghan (1:53.66)
Shayna Jack (1:55.63)
Brianna Throssell (1:55.80)
Ariarne Titmus (1:52.41)", Australia,27 July 2023,World Championships,"Fukuoka, Japan"
