Time,Name,Nationality,Date,Meet,Location
2:30.7,George Harrison, United States,24 August 1956,-,"Los Angeles, United States"
2:29.1,Frank Brunnell, United States,19 July 1958,-,"Akron, United States"
2:26.2,Gary Heinrich, United States,27 June 1959,-,"Los Angeles, United States"
2:24.7,Lance Larson, United States,11 July 1959,-,"Santa Clara, United States"
2:22.2,John McGill, United States,23 July 1960,-,"Toledo, United States"
2:22.1,Ted Stickles, United States,23 July 1960,-,"Toledo, United States"
2:21.3,Ted Stickles, United States,2 July 1961,-,"Chicago, United States"
2:20.5,Ted Stickles, United States,22 July 1961,-,"Cuyahoga Falls, United States"
2:19.6,Ted Stickles, United States,19 August 1961,Men's NAAA Championships,"Los Angeles, United States"
2:15.9,Ted Stickles, United States,19 August 1961,Men's NAAA Championships,"Los Angeles, United States"
2:15.5,Dick Roth, United States,2 August 1964,US National Championships,"Los Altos, United States"
2:14.9,Dick Roth, United States,15 August 1964,-,"Maumee, United States"
2:13.1,Greg Buckingham, United States,24 July 1966,-,"Los Altos, United States"
2:12.4,Greg Buckingham, United States,21 August 1966,-,"Lincoln, United States"
2:11.3,Greg Buckingham, United States,23 August 1967,-,"Oak Park, United States"
2:10.6,Charlie Hickcox, United States,31 August 1968,US Olympic Trials,"Los Angeles, United States"
2:09.6,Gary Hall Sr., United States,17 August 1969,AAU Championships,"Louisville, United States"
2:09.5,Gary Hall Sr., United States,23 August 1970,AAU Championships,"Los Angeles, United States"
2:09.3,Gunnar Larsson, Sweden,12 September 1970,European Championships,"Barcelona, Spain"
2:09.30,Gary Hall Sr., United States,2 August 1972,US Olympic Trials,"Chicago, United States"
2:07.17,Gunnar Larsson, Sweden,3 September 1972,Olympic Games,"Munich, West Germany"
2:06.32,David Wilkie, Great Britain,24 August 1974,European Championships,"Vienna, Austria"
2:06.32,Steve Furniss, United States,1 September 1974,USA vs East Germany Dual Meet,"Concord, United States"
2:06.08,Bruce Furniss, United States,23 August 1975,AAU Championships,"Kansas City, United States"
2:05.31,Graham Smith, Canada,4 August 1977,-,"Montreal, Canada"
2:05.24,Oleksandr Sydorenko, Soviet Union,9 July 1978,Soviet Union Championships,"Moscow, Soviet Union"
2:04.39,Steve Lundquist, United States,2 August 1978,US National Championships,"The Woodlands, United States"
2:03.56,Graham Smith, Canada,24 August 1978,World Championships,"West Berlin, West Germany"
2:03.29,Jesse Vassallo, United States,6 July 1979,Pan American Games,"San Juan, Puerto Rico"
2:03.24,Bill Barrett, United States,1 August 1980,-,"Irvine, United States"
2:03.01,Jeremy Reingold, South Africa,26 September 1980,-,"Cape Town, South Africa"
2:02.78,Alex Baumann, Canada,29 July 1981,-,"Heidelberg, West Germany"
2:02.25,Alex Baumann, Canada,4 October 1982,Commonwealth Games,"Brisbane, Australia"
2:01.42,Alex Baumann, Canada,4 August 1984,Olympic Games,"Los Angeles, United States"
2:00.56,Tamás Darnyi, Hungary,23 August 1987,European Championships,"Strasbourg, France"
2:00.17,Tamás Darnyi, Hungary,25 September 1988,Olympic Games,"Seoul, South Korea"
2:00.11,David Wharton, United States,20 August 1989,Pan Pacific Championships,"Tokyo, Japan"
1:59.36,Tamás Darnyi, Hungary,13 January 1991,World Championships,"Perth, Australia"
1:58.16,Jani Sievinen, Finland,11 September 1994,World Championships,"Rome, Italy"
1:57.94,Michael Phelps, United States,29 June 2003,Santa Clara Invitational,"Santa Clara, United States"
1:57.52,Michael Phelps, United States,24 July 2003,World Championships,"Barcelona, Spain"
1:56.04,Michael Phelps, United States,25 July 2003,World Championships,"Barcelona, Spain"
1:55.94,Michael Phelps, United States,9 August 2003,US National Championships,"College Park, United States"
1:55.84,Michael Phelps, United States,20 August 2006,Pan Pacific Championships,"Victoria, Canada"
1:54.98,Michael Phelps, United States,29 March 2007,World Championships,"Melbourne, Australia"
1:54.80,Michael Phelps, United States,4 July 2008,US Olympic Trials,"Omaha, United States"
1:54.23,Michael Phelps, United States,15 August 2008,Olympic Games,"Beijing, China"
1:54.10,Ryan Lochte, United States,30 July 2009,World Championships,"Rome, Italy"
1:54.00,Ryan Lochte, United States,28 July 2011,World Championships,"Shanghai, China"
1:52.69,Léon Marchand, France,30 July 2025,World Championships,Singapore
