Time,Name,Nationality,Date,Meet,Location
2:48.2,Patty Kempner, United States,27 April 1957,-,"Chicago, United States"
2:47.7,Becky Collins, United States,20 July 1958,-,"Akron, United States"
2:43.2,Sylvia Ruuska, United States,16 August 1958,-,"Fresno, United States"
2:40.3,Sylvia Ruuska, United States,14 January 1959,-,"Hobart, Australia"
2:40.1,Donna de Varona, United States,13 May 1961,-,"Redding, United States"
2:37.1,Donna de Varona, United States,9 July 1961,-,"Tenri, Japan"
2:35.0,Donna de Varona, United States,12 August 1961,-,"Philadelphia, United States"
2:33.3,Donna de Varona, United States,18 August 1962,-,"Chicago, United States"
2:31.8,Donna de Varona, United States,27 July 1963,Los Angeles Invitational,"Los Angeles, United States"
2:30.1,Donna de Varona, United States,11 July 1964,-,"Los Angeles, United States"
2:29.9,Donna de Varona, United States,1 August 1964,US National Championships,"Los Altos, United States"
2:29.0,Lynn Vidali, United States,22 July 1966,-,"Los Altos, United States"
2:27.8,Claudia Kolb, United States,21 August 1966,-,"Lincoln, United States"
2:27.5,Claudia Kolb, United States,8 July 1967,Santa Clara International,"Santa Clara, United States"
2:26.1,Claudia Kolb, United States,30 July 1967,Pan American Games,"Winnipeg, Canada"
2:23.5,Claudia Kolb, United States,25 August 1967,-,"Los Angeles, United States"
2:23.07,Shane Gould, Australia,28 August 1972,Olympic Games,"Munich, West Germany"
2:23.01,Kornelia Ender, East Germany,13 April 1973,-,"East Berlin, East Germany"
2:20.51,Andrea Hubner, East Germany,4 September 1973,World Championships,"Belgrade, Socialist Federal Republic of Yugoslavia"
2:18.97,Ulrike Tauber, East Germany,18 August 1974,European Championships,"Vienna, Austria"
2:18.83,Ulrike Tauber, East Germany,10 June 1975,East German Championships,"Wittenberg, West Germany"
2:18.30,Ulrike Tauber, East Germany,12 March 1976,Soviet Union vs East Germany Dual Meet,"Tallinn, Soviet Union"
2:17.14,Kornelia Ender, East Germany,5 June 1976,East German Championships,"East Berlin, East Germany"
2:16.96,Ulrike Tauber, East Germany,10 July 1977,-,"Leipzig, East Germany"
2:15.95,Ulrike Tauber, East Germany,20 August 1977,European Championships,"Jönköping, Sweden"
2:15.85,Ulrike Tauber, East Germany,28 August 1977,USA vs East Germany Dual Meet,"East Berlin, East Germany"
2:15.09,Tracy Caulkins, United States,2 August 1978,US National Championships,"The Woodlands, United States"
2:14.07,Tracy Caulkins, United States,20 August 1978,World Championships,"West Berlin, West Germany"
2:13.69,Tracy Caulkins, United States,5 January 1980,-,"Austin, United States"
2:13.00,Petra Schneider, East Germany,24 May 1980,-,"East Berlin, East Germany"
2:11.73,Ute Geweniger, East Germany,4 July 1981,-,"Magdeburg, East Germany"
2:11.65,Lin Li, China,30 July 1992,Olympic Games,"Barcelona, Spain"
2:09.72,Wu Yanyan, China,17 October 1997,Chinese National Games,"Shanghai, China"
2:08.92,Stephanie Rice, Australia,25 March 2008,Australian Championships,"Sydney, Australia"
2:08.45,Stephanie Rice, Australia,13 August 2008,Olympic Games,"Beijing, China"
2:07.03,Ariana Kukors, United States,26 July 2009,World Championships,"Rome, Italy"
2:06.15,Ariana Kukors, United States,27 July 2009,World Championships,"Rome, Italy"
2:06.12,Katinka Hosszú, Hungary,3 August 2015,World Championships,"Kazan, Russia"
2:05.70,Summer McIntosh, Canada,9 June 2025,Canadian Trials,"Victoria, Canada"
