Time,Name,Nationality,Date,Meet,Location
4:39.2,"Gustaf Hellsing
Lennart Brock
Roy Dahl
Hakan Westesson", Sweden,22 Feb 1953,-,"Helsingborg, Sweden"
4:32.2,"Gilbert Bozon
Pierre Dumesnil
Maurice Lusien
Alex Jany", France,22 Mar 1953,-,"Charleroi, Belgium"
4:31.5,"A. Violas
Pierre Dumesnil
Julian Arene
Aldo Eminente", France,1 Apr 1953,-,"Troyes, France"
4:30.8,"Gustaf Hellsing
Lennart Brock
Göran Larsson
Per-Olof Östrand", Sweden,17 Apr 1953,-,"Lund, Sweden"
4:27.8,"Gustaf Hellsing
Lennart Brock
Göran Larsson
Per-Olof Östrand", Sweden,24 Apr 1953,-,"Borås, Sweden"
4:24.8,"Viktor Lopatin
Vladimir Minashkin
Pyotr Skripchenkov
Lev Balandin", Soviet Union,13 May 1953,-,"Moscow, Soviet Union"
4:21.3,"Viktor Solovyov
Vladimir Minashkin
Pyotr Skripchenkov
Lev Balandin", Soviet Union,26 Jan 1954,-,"Moscow, Soviet Union"
4:19.0,"Viktor Solovyov
Vladimir Minashkin
Pyotr Skripchenkov
Lev Balandin", Soviet Union,24 Feb 1954,-,"Stockholm, Sweden"
4:14.8,"G. Kuvaldin
Vladimir Minashkin
Vladimir Strushanov
Lev Balandin", Soviet Union,14 Aug 1956,Olympic Trials,"Moscow, Soviet Union"
4:17.8,"Kazuo Tomita (1:01.2)
Masaru Furukawa (-)
Takashi Ishimoto (-)
Katsuki Ishihara (-)", Japan,7 Sep 1957,All-Japan Student Championships,"Tokyo, Japan"
4:17.2,"Keiji Hase (1:05.5)
Masaru Furukawa (1:13.4)
Takashi Ishimoto (1:00.4)
Manabu Koga (57.9)", Japan,28 May 1958,Asian Games,"Tokyo, Japan"
4:16.7,"Keiji Hase (1:05.4)
Masaru Furukawa (1:13.4)
Takashi Ishimoto (59.6)
Manabu Koga (58.3)", Japan,29 Jun 1958,-,"Los Angeles, United States"
4:14.2,"John Monckton
Terry Gathercole
Brian Wilkinson
John Devitt", Australia,25 Jul 1958,British Empire and Commonwealth Games,"Cardiff, United Kingdom"
4:10.4,"John Monckton
Terry Gathercole
Brian Wilkinson
John Devitt", Australia,22 Aug 1958,-,"Osaka, Japan"
4:09.2,"Frank McKinney
Chet Jastremski
Mike Troy
Peter Sintz", United States,24 Jul 1960,-,"Toledo, Ohio, United States"
4:08.2,"Bob Bennett
Paul Hait
Dave Gillanders
Steve Clark", United States,27 Aug 1960,Olympic Games,"Rome, Italy"
4:05.4,"Frank McKinney (1:02.0)
Paul Hait (1:10.5)
Lance Larson (58.0)
Jeff Farrell (54.9)", United States,1 Sep 1960,Olympic Games,"Rome, Italy"
4:03.0,"Tom Stock
Chet Jastremski
Lary Schulhof
Peter Sintz", United States,20 Aug 1961,-,"Los Angeles, United States"
4:01.6,"Tom Stock
Chet Jastremski
Fred Schmidt
Peter Sintz", United States,12 Aug 1962,-,"Cuyahoga Falls, United States"
4:00.1,"Richard McGeagh
Bill Craig
Walter Richardson
Steve Clark", United States,24 Aug 1963,-,"Osaka, Japan"
3:58.4,"Thompson Mann (59.6 WR)
Bill Craig (1:09.6)
Fred Schmidt (56.8)
Steve Clark (52.4)", United States,16 Oct 1964,Olympic Games,"Tokyo, Japan"
3:57.2,"Charlie Hickcox (59.1 WR)
Ken Merten
Doug Russell
Ken Walsh", United States,31 Aug 1967,Universiade,"Tokyo, Japan"
3:56.5,"Roland Matthes
Egon Henninger
Horst-Gunther Gregor
Frank Wiegand", East Germany,7 Nov 1967,-,"Leipzig, East Germany"
3:54.9,"Charlie Hickcox
Don McKenzie
Doug Russell
Ken Walsh", United States,26 Oct 1968,Olympic Games,"Mexico City, Mexico"
3:54.4,"Roland Matthes
Klaus Katzur
Udo Poser
Lutz Unger", East Germany,8 Sep 1970,European Championships,"Barcelona, Spain"
3:50.4,"Charles Campbell
Peter Dahlberg
Mark Spitz
Jerry Heidenreich", United States,3 Sep 1971,GDRvUSA Duel,"Leipzig, East Germany"
3:48.16,"Mike Stamm (57.97)
Tom Bruce (1:04.22)
Mark Spitz (54.28)
Jerry Heidenreich (51.69)", United States,4 Sep 1972,Olympic Games,"Munich, West Germany"
3:47.28,"Peter Rocca (57.94)
Chris Woo (1:04.46)
Joe Bottom (54.30)
Jack Babashoff (50.58)", United States,22 Jul 1976,Olympic Games,"Montreal, Canada"
3:42.22,"John Naber (55.89)
John Hencken (1:02.50)
Matt Vogel (54.26)
Jim Montgomery (49.57)", United States,22 Jul 1976,Olympic Games,"Montreal, Canada"
3:40.84,"Rick Carey
Steve Lundquist
Matt Gribble
Rowdy Gaines", United States,7 Aug 1982,World Championships,"Guayaquil, Ecuador"
