Time,Name,Nationality,Date,Meet,Location
5:10.8,"Magda Hunyadfi
Klara Killermann
Éva Székely
Valéria Gyenge", Hungary,24 Jul 1953,-,"Budapest, Hungary"
5:09.2,"Magda Hunyadfi
Klara Killermann
Éva Székely
Valéria Gyenge", Hungary,10 Aug 1953,-,"Bucharest, Romania"
5:07.8,"Judit Temes
Klara Killermann
Mária Littomericzky
Katalin Szőke", Hungary,3 Aug 1954,-,"Budapest, Hungary"
5:06.2,"Marie-Helene Andre
Francoise Derommeleere
Odette Lusien
Josette Arene", France,16 Aug 1954,-,"Marseille, France"
5:02.1,"Joke de Korte (1:13.0)
Rika Bruins (1:23.4)
Mary Kok (1:20.3)
Geertje Wielema (1:05.4)", Netherlands,27 Nov 1954,-,"Rotterdam, Netherlands"
5:00.1,"Jopie van Alphen
Rika Bruins
Atie Voorbij
Hetty Balkenende", Netherlands,17 Jul 1955,-,"Paris, France"
4:57.8,"Eva Pajor
Éva Székely
Rypsyma Székely
Katalin Szőke", Hungary,3 Sep 1955,-,"Budapest, Hungary"
4:54.3,"Lenie de Nijs
Rita Kroon
Atie Voorbij
Greetje Kraan", Netherlands,19 Nov 1956,-,"Hilversum, Netherlands"
4:53.1,"Joke de Korte
Ada den Haan
Tineke Lagerberg
Cocky Gastelaars", Netherlands,8 Dec 1956,-,"Zwolle, Netherlands"
4:57.0,"Greetje Kraan
Ada den Haan
Atie Voorbij
Cocky Gastelaars", Netherlands,18 May 1957,GBRvNED International,"Blackpool, United Kingdom"
4:54.0,"Judy Grinham (1:10.9)
Anita Lonsbrough (1:23.3)
Christine Gosden (1:14.2)
Diana Wilkinson (1:04.6)", Great Britain,25 July 1958,British Empire and Commonwealth Games,"Cardiff, United Kingdom"
4:52.9,"Lenie de Nijs
Ada den Haan
Atie Voorbij
Cocky Gastelaars", Netherlands,5 Sep 1958,European Championships,"Budapest, Hungary"
4:51.5,"Ria van Velsen (1:11.7)
Ada den Haan
Tineke Lagerberg
Cocky Gastelaars", Netherlands,26 Jul 1959,NEDvGBR International Meet,"Waalwijk, Netherlands"
4:44.6,"Carin Cone
Ann Bancroft
Becky Collins
Chris von Saltza", United States,6 Sep 1959,1959 Pan American Games,"Chicago, United States"
4:41.1,"Lynn Burke
Patty Kempner
Carolyn Schuler
Chris von Saltza", United States,2 Sep 1960,Olympic Games,"Rome, Italy"
4:40.1,"Ingrid Schmidt
Heidi Pechstein
Ute Noack
Barbara Gobel", East Germany,23 Aug 1962,European Championships,"Leipzig, East Germany"
4:39.1,"Maria van Velsen (1:12.2)
Klenie Bimolt (1:18.0)
Ada Kok (1:05.4)
Erica Terpstra (1:03.5)", Netherlands,28 Jun 1964,NEDvGBR International Meet,"Groningen (city), Netherlands"
4:38.1,"Donna de Varona
Claudia Kolb
Judy Haroun
Lillian Watson", United States,4 Jul 1964,-,"Los Altos, California, United States"
4:34.6,"Cathy Ferguson
Cynthia Goyette
Martha Randall
Kathy Ellis", United States,28 Sep 1964,Pre Olympic,"Los Angeles, United States"
4:33.9,"Cathy Ferguson
Cynthia Goyette
Sharon Stouder
Kathy Ellis", United States,18 Oct 1964,Olympic Games,"Tokyo, Japan"
4:30.0,"Kendis Moore
Catie Ball
Ellie Daniel
Wendy Fordyce", United States,30 Jul 1967,Pan American Games,"Winnipeg, Canada"
4:28.1,"Kaye Hall
Catie Ball
Ellie Daniel
Susan Pedersen", United States,14 Sep 1968,Pre Olympic,"Colorado Springs, United States"
4:27.4,"Susie Atwood
Kim Brecht
Alice Jones
Cindy Schilling", United States,1 Sep 1970,-,"Tokyo, Japan"
4:27.3,"Susie Atwood
Claudia Clevenger
Ellie Daniel
Linda Johnson", United States,11 Sep 1971,URSvUSAvGBR meet,"Minsk, Soviet Union"
4:25.34,"Susie Atwood
Lynn Vidali
Ellie Daniel
Jane Barkman", United States,18 Aug 1972,Pre Olympic,"Knoxville, United States"
4:20.75,"Melissa Belote
Cathy Carr
Deena Deardurff
Sandy Neilson", United States,3 Sep 1972,Olympic Games,"Munich, West Germany"
4:16.84,"Ulrike Richter
Renate Vogel
Rosemarie Kother
Kornelia Ender", East Germany,4 Sep 1973,World Championships,"Belgrade, Socialist Federal Republic of Yugoslavia"
4:13.78,"Ulrike Richter
Renate Vogel
Rosemarie Kother
Kornelia Ender", East Germany,24 Aug 1974,European Championships,"Vienna, Austria"
4:13.41,"Monika Seltmann
Carola Nitschke
Andrea Pollack
Barbara Krause", East Germany,5 Jun 1976,East German National Championships,"Berlin, East Germany"
4:07.95,"Ulrike Richter (1:02.23)
Hannelore Anke (1:10.15)
Andrea Pollack (59.53)
Kornelia Ender (56.04)", East Germany,18 Jul 1976,Olympic Games,"Montreal, Canada"
4:06.67,"Rica Reinisch (1:01.51 =WR)
Ute Geweniger (1:09.46)
Andrea Pollack (1:00.14)
Caren Metschuck (55.56)", East Germany,20 Jul 1980,Olympic Games,"Moscow, Soviet Union"
4:05.88,"Kristin Otto
Ute Geweniger
Ines Geißler
Birgit Meineke", East Germany,6 Aug 1982,World Championships,"Guayaquil, Ecuador"
4:05.79,"Ina Kleber
Ute Geweniger
Ines Geißler
Birgit Meineke", East Germany,26 Aug 1983,European Championships,"Rome, Italy"
