Mark,Wind,Athlete,Date,Venue
10.32 m (33 ft 10+1⁄4 in),, Elizabeth Stine (USA),13 May 1922,"Mamaroneck, U.S."
10.50 m (34 ft 5+1⁄4 in),, Adrienne Kaenel (SUI),23 July 1923,"Geneva, Switzerland"
11.62 m (38 ft 1+1⁄4 in),, Kinue Hitomi (JPN),17 October 1926,"Harbin, China"
11.66 m (38 ft 3 in),, Rie Yamaguchi (JPN),21 October 1939,Unknown
12.22 m (40 ft 1 in),, Mary Bignal (GBR),18 June 1959,"Street, United Kingdom"
12.43 m (40 ft 9+1⁄4 in),, Terri Turner (USA),9 May 1981,"Austin, U.S."
12.47 m (40 ft 10+3⁄4 in),, Terri Turner (USA),7 May 1982,"Austin, U.S."
12.51 m (41 ft 1⁄2 in),, Melody Smith (USA),6 May 1983,"Austin, U.S."
12.98 m (42 ft 7 in),, Easter Gabriel (USA),7 May 1983,"Baton Rouge, U.S."
13.15 m (43 ft 1+1⁄2 in),, Terri Turner (USA),24 March 1984,"Austin, U.S."
13.21 m (43 ft 4 in),, Terri Turner (USA),13 April 1984,"Baton Rouge, U.S."
13.58 m (44 ft 6+1⁄2 in),, Wendy Brown (USA),30 May 1985,"Austin, U.S."
13.68 m (44 ft 10+1⁄2 in),, Esmeralda Garcia (BRA),5 June 1986,"Indianapolis, U.S."
13.71 m (44 ft 11+3⁄4 in),, Wendy Brown (USA),2 May 1987,"Los Angeles, U.S."
13.73 m (45 ft 1⁄2 in),, Flora Hyacinth (ISV),17 May 1987,"Tuscaloosa, U.S."
13.78 m (45 ft 2+1⁄2 in),, Sheila Hudson (USA),6 June 1987,"Baton Rouge, U.S."
13.85 m (45 ft 5+1⁄4 in),, Sheila Hudson (USA),26 June 1987,"San Jose, U.S."
14.04 m (46 ft 3⁄4 in),, Li Huirong (CHN),11 October 1987,"Hamamatsu, Japan"
14.16 m (46 ft 5+1⁄4 in),, Li Huirong (CHN),23 April 1988,"Shijiazhuang, PR China"
14.52 m (47 ft 7+1⁄2 in),, Galina Chistyakova (URS),2 July 1989,"Stockholm, Sweden"
14.54 m (47 ft 8+1⁄4 in),1.1, Li Huirong (CHN),25 August 1990,"Sapporo, Japan[4]"
14.95 m (49 ft 1⁄2 in),-0.2, Inessa Kravets (URS),10 June 1991,"Moscow, Soviet Union[4]"
14.97 m (49 ft 1+1⁄4 in),0.9, Iolanda Chen (RUS),18 June 1993,"Moscow, Russia[4]"
15.09 m (49 ft 6 in),0.5, Anna Biryukova (RUS),21 August 1993,"Stuttgart, Germany[4]"
15.50 m (50 ft 10 in),0.9, Inessa Kravets (UKR),10 August 1995,"Gothenburg, Sweden[4]"
15.67 m (51 ft 4+3⁄4 in),0.7, Yulimar Rojas (VEN),1 August 2021,"Tokyo, Japan"
15.74 m (51 ft 7+1⁄2 in),indoor, Yulimar Rojas (VEN),20 March 2022,"Belgrade, Serbia"
